x (Bohr radius), Numerical wavefunction, Analytical wavefunction
-3.96500000e+00, 0.00000000e+00, 1.30431271e-22
-3.89500000e+00, 0.00000000e+00, 4.44734452e-21
-3.82500000e+00, 0.00000000e+00, 1.19171088e-19
-3.75500000e+00, 0.00000000e+00, 2.55074495e-18
-3.68500000e+00, 0.00000000e+00, 4.42777731e-17
-3.61500000e+00, 0.00000000e+00, 6.32233848e-16
-3.54500000e+00, 0.00000000e+00, 7.52450210e-15
-3.47500000e+00, 0.00000000e+00, 7.55671337e-14
-3.40500000e+00, 0.00000000e+00, 6.47782027e-13
-3.33500000e+00, 0.00000000e+00, 4.79086741e-12
-3.26500000e+00, 0.00000000e+00, 3.08761399e-11
-3.19500000e+00, 0.00000000e+00, 1.75023634e-10
-3.12500000e+00, 0.00000000e+00, 8.80244415e-10
-3.05500000e+00, 0.00000000e+00, 3.95964312e-09
-2.98500000e+00, 0.00000000e+00, 1.60520600e-08
-2.91500000e+00, 0.00000000e+00, 5.90584142e-08
-2.84500000e+00, 0.00000000e+00, 1.98498344e-07
-2.77500000e+00, 0.00000000e+00, 6.13213052e-07
-2.70500000e+00, 0.00000000e+00, 1.75114079e-06
-2.63500000e+00, 1.78752582e-06, 4.64723159e-06
-2.56500000e+00, 1.25126807e-05, 1.15181699e-05
-2.49500000e+00, 5.36257746e-06, 2.67852304e-05
-2.42500000e+00, 4.46881455e-05, 5.86950108e-05
-2.35500000e+00, 4.64756713e-05, 1.21687379e-04
-2.28500000e+00, 1.68027427e-04, 2.39582524e-04
-2.21500000e+00, 2.91366709e-04, 4.49517613e-04
-2.14500000e+00, 5.55920530e-04, 8.06370175e-04
-2.07500000e+00, 1.07609054e-03, 1.38719318e-03
-2.00500000e+00, 1.86617696e-03, 2.29500489e-03
-1.93500000e+00, 3.16928328e-03, 3.66117749e-03
-1.86500000e+00, 5.04082282e-03, 5.64569317e-03
-1.79500000e+00, 7.50224587e-03, 8.43469998e-03
-1.72500000e+00, 1.09289329e-02, 1.22350874e-02
-1.65500000e+00, 1.59447303e-02, 1.72661674e-02
-1.58500000e+00, 2.21688952e-02, 2.37489303e-02
-1.51500000e+00, 2.98284434e-02, 3.18936759e-02
-1.44500000e+00, 3.94775078e-02, 4.18870507e-02
-1.37500000e+00, 5.12555154e-02, 5.38796118e-02
-1.30500000e+00, 6.53251311e-02, 6.79749854e-02
-1.23500000e+00, 8.18400822e-02, 8.42215097e-02
-1.16500000e+00, 9.99423562e-02, 1.02606983e-01
-1.09500000e+00, 1.21231789e-01, 1.23056818e-01
-1.02500000e+00, 1.41505907e-01, 1.45435605e-01
-9.55000000e-01, 1.66642095e-01, 1.69551766e-01
-8.85000000e-01, 1.93311980e-01, 1.95164829e-01
-8.15000000e-01, 2.19322268e-01, 2.21994631e-01
-7.45000000e-01, 2.47795767e-01, 2.49731773e-01
-6.75000000e-01, 2.76692909e-01, 2.78048593e-01
-6.05000000e-01, 3.04655176e-01, 3.06610024e-01
-5.35000000e-01, 3.32222399e-01, 3.35083792e-01
-4.65000000e-01, 3.59769959e-01, 3.63149531e-01
-3.95000000e-01, 3.89065720e-01, 3.90506525e-01
-3.25000000e-01, 4.14305585e-01, 4.16879922e-01
-2.55000000e-01, 4.39043155e-01, 4.42025357e-01
-1.85000000e-01, 4.65060593e-01, 4.65732032e-01
-1.15000000e-01, 4.86323212e-01, 4.87824364e-01
-4.50000000e-02, 5.06545492e-01, 5.08162363e-01
2.50000000e-02, 5.24762168e-01, 5.26640924e-01
9.50000000e-02, 5.40790912e-01, 5.43188244e-01
1.65000000e-01, 5.56365624e-01, 5.57763571e-01
2.35000000e-01, 5.69450313e-01, 5.70354456e-01
3.05000000e-01, 5.79380019e-01, 5.80973703e-01
3.75000000e-01, 5.89774482e-01, 5.89656162e-01
4.45000000e-01, 5.96121986e-01, 5.96455474e-01
5.15000000e-01, 6.01851006e-01, 6.01440899e-01
5.85000000e-01, 6.04008550e-01, 6.04694280e-01
6.55000000e-01, 6.04126527e-01, 6.06307211e-01
7.25000000e-01, 6.05679887e-01, 6.06378453e-01
7.95000000e-01, 6.06351996e-01, 6.05011602e-01
8.65000000e-01, 6.02766220e-01, 6.02313044e-01
9.35000000e-01, 5.99428909e-01, 5.98390173e-01
1.00500000e+00, 5.95567853e-01, 5.93349876e-01
1.07500000e+00, 5.88642978e-01, 5.87297270e-01
1.14500000e+00, 5.84638920e-01, 5.80334668e-01
1.21500000e+00, 5.76689793e-01, 5.72560757e-01
1.28500000e+00, 5.67183731e-01, 5.64069960e-01
1.35500000e+00, 5.58078074e-01, 5.54951973e-01
1.42500000e+00, 5.48055417e-01, 5.45291441e-01
1.49500000e+00, 5.35687526e-01, 5.35167758e-01
1.56500000e+00, 5.25162574e-01, 5.24654975e-01
1.63500000e+00, 5.13523993e-01, 5.13821792e-01
1.70500000e+00, 5.05242386e-01, 5.02731627e-01
1.77500000e+00, 4.92747580e-01, 4.91442734e-01
1.84500000e+00, 4.83034165e-01, 4.80008373e-01
1.91500000e+00, 4.70796763e-01, 4.68477014e-01
1.98500000e+00, 4.56854062e-01, 4.56892556e-01
2.05500000e+00, 4.44323506e-01, 4.45294577e-01
2.12500000e+00, 4.33237271e-01, 4.33718585e-01
2.19500000e+00, 4.21866819e-01, 4.22196273e-01
2.26500000e+00, 4.10564293e-01, 4.10755782e-01
2.33500000e+00, 4.00686425e-01, 3.99421954e-01
2.40500000e+00, 3.90540429e-01, 3.88216578e-01
2.47500000e+00, 3.78063499e-01, 3.77158634e-01
2.54500000e+00, 3.66371292e-01, 3.66264525e-01
2.61500000e+00, 3.55980405e-01, 3.55548291e-01
2.68500000e+00, 3.45902334e-01, 3.45021825e-01
2.75500000e+00, 3.36600050e-01, 3.34695060e-01
2.82500000e+00, 3.25204573e-01, 3.24576161e-01
2.89500000e+00, 3.15248054e-01, 3.14671691e-01
2.96500000e+00, 3.05640102e-01, 3.04986770e-01
3.03500000e+00, 2.99008382e-01, 2.95525228e-01
3.10500000e+00, 2.87062347e-01, 2.86289733e-01
3.17500000e+00, 2.78239119e-01, 2.77281924e-01
3.24500000e+00, 2.68895722e-01, 2.68502521e-01
3.31500000e+00, 2.61313037e-01, 2.59951434e-01
3.38500000e+00, 2.50564644e-01, 2.51627854e-01
3.45500000e+00, 2.43464592e-01, 2.43530347e-01
3.52500000e+00, 2.34341060e-01, 2.35656930e-01
3.59500000e+00, 2.26602861e-01, 2.28005143e-01
3.66500000e+00, 2.18532182e-01, 2.20572116e-01
3.73500000e+00, 2.10717119e-01, 2.13354627e-01
3.80500000e+00, 2.02306810e-01, 2.06349157e-01
3.87500000e+00, 1.96529526e-01, 1.99551936e-01
3.94500000e+00, 1.89552813e-01, 1.92958985e-01
4.01500000e+00, 1.83335798e-01, 1.86566159e-01
4.08500000e+00, 1.77996459e-01, 1.80369176e-01
4.15500000e+00, 1.72689295e-01, 1.74363653e-01
4.22500000e+00, 1.67103276e-01, 1.68545128e-01
4.29500000e+00, 1.61776449e-01, 1.62909087e-01
4.36500000e+00, 1.57920756e-01, 1.57450987e-01
4.43500000e+00, 1.52517066e-01, 1.52166270e-01
4.50500000e+00, 1.49326332e-01, 1.47050384e-01
4.57500000e+00, 1.44249759e-01, 1.42098797e-01
4.64500000e+00, 1.40327927e-01, 1.37307006e-01
4.71500000e+00, 1.33948247e-01, 1.32670552e-01
4.78500000e+00, 1.29572384e-01, 1.28185027e-01
4.85500000e+00, 1.24670988e-01, 1.23846084e-01
4.92500000e+00, 1.20949360e-01, 1.19649441e-01
4.99500000e+00, 1.16630697e-01, 1.15590890e-01
5.06500000e+00, 1.12680265e-01, 1.11666300e-01
5.13500000e+00, 1.07825345e-01, 1.07871620e-01
5.20500000e+00, 1.03951777e-01, 1.04202885e-01
5.27500000e+00, 1.00850419e-01, 1.00656216e-01
5.34500000e+00, 9.81065672e-02, 9.72278233e-02
5.41500000e+00, 9.43777883e-02, 9.39140058e-02
5.48500000e+00, 9.10941034e-02, 9.07111547e-02
5.55500000e+00, 8.77460675e-02, 8.76157521e-02
5.62500000e+00, 8.50218781e-02, 8.46243717e-02
5.69500000e+00, 8.20206223e-02, 8.17336780e-02
5.76500000e+00, 7.85563973e-02, 7.89404266e-02
5.83500000e+00, 7.57624944e-02, 7.62414628e-02
5.90500000e+00, 7.36746642e-02, 7.36337211e-02
5.97500000e+00, 7.08807614e-02, 7.11142236e-02
6.04500000e+00, 6.79939072e-02, 6.86800791e-02
6.11500000e+00, 6.49461757e-02, 6.63284817e-02
6.18500000e+00, 6.30728486e-02, 6.40567089e-02
6.25500000e+00, 6.15069760e-02, 6.18621204e-02
6.32500000e+00, 5.88006619e-02, 5.97421561e-02
6.39500000e+00, 5.66699311e-02, 5.76943347e-02
6.46500000e+00, 5.49968069e-02, 5.57162518e-02
6.53500000e+00, 5.36007493e-02, 5.38055779e-02
6.60500000e+00, 5.14324804e-02, 5.19600569e-02
6.67500000e+00, 5.00632357e-02, 5.01775039e-02
6.74500000e+00, 4.77233644e-02, 4.84558038e-02
6.81500000e+00, 4.61342539e-02, 4.67929091e-02
6.88500000e+00, 4.51904403e-02, 4.51868382e-02
6.95500000e+00, 4.32348870e-02, 4.36356735e-02
7.02500000e+00, 4.14705990e-02, 4.21375599e-02
7.09500000e+00, 3.95114707e-02, 4.06907026e-02
7.16500000e+00, 3.84067798e-02, 3.92933656e-02
7.23500000e+00, 3.73735899e-02, 3.79438700e-02
7.30500000e+00, 3.57576665e-02, 3.66405921e-02
7.37500000e+00, 3.45921997e-02, 3.53819620e-02
7.44500000e+00, 3.36358734e-02, 3.41664618e-02
7.51500000e+00, 3.32229549e-02, 3.29926239e-02
7.58500000e+00, 3.18215347e-02, 3.18590299e-02
7.65500000e+00, 3.06042296e-02, 3.07643084e-02
7.72500000e+00, 2.97104667e-02, 2.97071341e-02
7.79500000e+00, 2.86290135e-02, 2.86862261e-02
7.86500000e+00, 2.75690107e-02, 2.77003464e-02
7.93500000e+00, 2.67252985e-02, 2.67482989e-02
8.00500000e+00, 2.59477248e-02, 2.58289274e-02
8.07500000e+00, 2.50396617e-02, 2.49411150e-02
8.14500000e+00, 2.41226610e-02, 2.40837825e-02
8.21500000e+00, 2.32807363e-02, 2.32558870e-02
8.28500000e+00, 2.26247143e-02, 2.24564212e-02
8.35500000e+00, 2.16040371e-02, 2.16844118e-02
8.42500000e+00, 2.09587403e-02, 2.09389184e-02
8.49500000e+00, 1.99791761e-02, 2.02190328e-02
8.56500000e+00, 1.92570157e-02, 1.95238775e-02
8.63500000e+00, 1.87994091e-02, 1.88526049e-02
8.70500000e+00, 1.80146852e-02, 1.82043962e-02
8.77500000e+00, 1.74802150e-02, 1.75784606e-02
8.84500000e+00, 1.69618325e-02, 1.69740341e-02
8.91500000e+00, 1.64488126e-02, 1.63903789e-02
8.98500000e+00, 1.63272608e-02, 1.58267824e-02
9.05500000e+00, 1.52887083e-02, 1.52825563e-02
9.12500000e+00, 1.50867179e-02, 1.47570356e-02
9.19500000e+00, 1.45754855e-02, 1.42495784e-02
9.26500000e+00, 1.39409139e-02, 1.37595646e-02
9.33500000e+00, 1.32884670e-02, 1.32863951e-02
9.40500000e+00, 1.30149755e-02, 1.28294917e-02
9.47500000e+00, 1.26646204e-02, 1.23882956e-02
9.54500000e+00, 1.21694758e-02, 1.19622674e-02
9.61500000e+00, 1.19084970e-02, 1.15508861e-02
9.68500000e+00, 1.12542626e-02, 1.11536484e-02
9.75500000e+00, 1.07287300e-02, 1.07700687e-02
9.82500000e+00, 1.05857279e-02, 1.03996774e-02
9.89500000e+00, 1.01424215e-02, 1.00420215e-02
9.96500000e+00, 9.52572510e-03, 9.69666345e-03