Position x (Å), Position y (Å), Position z (Å)
4.20345676, 10.04717843, 1.99367865
4.26000252, 10.00553165, 1.98171248
4.28237267, 10.02077096, 2.03535194
4.26923744, 10.08545717, 2.12378738
4.23242027, 10.19105423, 2.19992711
4.18193960, 10.32836118, 2.24794073
4.12720922, 10.47761650, 2.27505778
4.07778665, 10.61419532, 2.29061503
4.04165087, 10.71846600, 2.29743668
4.02051657, 10.78078327, 2.29438393
4.01180845, 10.80337860, 2.28041695
4.01260182, 10.80047388, 2.25724209
4.02132995, 10.78918424, 2.22709539
4.03596009, 10.78222039, 2.19230069
4.05157390, 10.78455236, 2.15771169
4.05960714, 10.79426945, 2.13059463
4.05109503, 10.80549604, 2.11859886
4.02302000, 10.81003838, 2.12502920
3.98267016, 10.80062223, 2.14547320
3.94356493, 10.77263775, 2.16986847
3.91846487, 10.72279518, 2.18542830
3.91345340, 10.64936501, 2.18073647
3.92575275, 10.55207164, 2.14959736
3.94514231, 10.43697592, 2.09577569
3.95937933, 10.32116118, 2.03339243
3.96223419, 10.22618110, 1.97749532
3.95412390, 10.16157162, 1.93618617
3.93969394, 10.12012415, 1.90486799
3.92695626, 10.08831842, 1.87413127
3.92394544, 10.05582146, 1.83804670
3.93702836, 10.01748979, 1.79510555
3.96951699, 9.97399410, 1.74813205
4.01928220, 9.93389697, 1.70461255
4.07885624, 9.91284046, 1.67287561
4.13581387, 9.92731702, 1.65679159
4.17270673, 9.98586221, 1.65389005
4.17594333, 10.08332475, 1.65739383
4.14481253, 10.20188340, 1.66364633
4.08802217, 10.31468127, 1.67701343
4.01403717, 10.39574327, 1.70674386
3.93432801, 10.43477856, 1.76123548
3.86396766, 10.43981342, 1.84265751
3.81634380, 10.42684283, 1.94687134
3.79920153, 10.40947486, 2.06099181
3.81460066, 10.39647155, 2.16913339
3.85834642, 10.39554282, 2.26271032
3.92016766, 10.41134048, 2.34165158
3.98891589, 10.44430709, 2.41082930
4.05522978, 10.49228555, 2.47208583
4.10606128, 10.54402096, 2.52290716
4.12097414, 10.57725958, 2.55723616
4.08899860, 10.57220546, 2.56521687
4.02983958, 10.52656044, 2.53514498
3.98408414, 10.45399726, 2.46764133
3.97391020, 10.36733220, 2.37880555
3.99600598, 10.27171758, 2.29096376
4.04092165, 10.17276006, 2.21561715
4.10156022, 10.08934649, 2.15366156
4.16909574, 10.04506799, 2.10176017
4.23399338, 10.05390428, 2.05684497
4.28710882, 10.10888903, 2.01662712
4.32174148, 10.18654933, 1.98407690
4.33692517, 10.26269374, 1.96512369
4.33629374, 10.32082756, 1.96168954
4.32363294, 10.35617423, 1.96809562
4.30304514, 10.37598607, 1.97606977
4.28074190, 10.39175332, 1.98183919
4.26420046, 10.41101804, 1.98891347
4.25981681, 10.43616280, 2.00283138
4.26776214, 10.46477500, 2.02505430
4.28041323, 10.48998902, 2.05265539
4.28501966, 10.50220393, 2.08256142
4.26788825, 10.49107949, 2.11357257
4.21943876, 10.45019832, 2.14659852
4.14073041, 10.38279842, 2.18320141
4.04418960, 10.30074935, 2.22206422
3.94884178, 10.21687609, 2.25444418
3.87931950, 10.14218435, 2.25980954
3.85531043, 10.08271124, 2.21539851
3.87196220, 10.03937438, 2.11980271
3.90521958, 10.01022616, 2.00034905
3.93743857, 9.99377656, 1.89865530
3.96841192, 9.98509262, 1.85023458
4.00583614, 9.97338739, 1.86136130
4.04545998, 9.95436467, 1.90596689
4.07186237, 9.93712097, 1.95257417
4.07534521, 9.93825628, 1.98369148
4.06544615, 9.97832673, 1.99251805
4.07064541, 10.07519330, 1.97811467
4.10862353, 10.23007926, 1.94307168
4.16727293, 10.41640385, 1.89342236
4.22479316, 10.59257387, 1.83354216
4.24146500, 10.70654764, 1.76546514
4.17234949, 10.71026466, 1.68851532
4.06469098, 10.63712022, 1.61592801
3.99279463, 10.53167346, 1.57971436
3.98315175, 10.41602190, 1.60237646
4.01109977, 10.31591573, 1.67001658
4.05389626, 10.26076704, 1.75971933
4.10393711, 10.26182241, 1.85419165
4.15623527, 10.30246196, 1.93832897
4.20234411, 10.34725533, 2.00089676
4.23633082, 10.36667244, 2.03551992
4.25673833, 10.35080256, 2.04638643
4.26291458, 10.30956772, 2.04707216
4.25264693, 10.26009760, 2.05102205
4.22484118, 10.21640648, 2.06718750
4.18287916, 10.18719985, 2.09635007
4.13372355, 10.17675856, 2.13211279
4.08365875, 10.18690163, 2.16217682
4.03586088, 10.22147024, 2.16955455
3.99138434, 10.28327906, 2.14025252
3.95066921, 10.36250371, 2.08138372
3.91445742, 10.43407411, 2.02622665
3.88240221, 10.46162744, 2.01587055
3.85575489, 10.41856667, 2.06860518
3.84449730, 10.31719396, 2.16165030
3.85707210, 10.18529465, 2.26406509
3.89720872, 10.04539027, 2.35662662
3.96803077, 9.91761929, 2.42688121
4.06308309, 9.81545326, 2.46646631
4.16520698, 9.74828475, 2.47316464
4.25811697, 9.72080789, 2.45331213
4.32937036, 9.73179441, 2.41915651
4.37384405, 9.77301924, 2.38025006
4.39243232, 9.83312224, 2.34096873
4.38770830, 9.90223842, 2.30345852
4.36148412, 9.97243210, 2.27076925
4.31333604, 10.03834317, 2.24783139
4.24379039, 10.09685142, 2.23872247
4.15707244, 10.14819536, 2.24059801
4.06039309, 10.19569397, 2.24375699
3.96143113, 10.24292047, 2.23833540
3.86601993, 10.28995472, 2.21844206
3.77749079, 10.33355605, 2.18441870
3.70003557, 10.37066911, 2.14181078
3.64083486, 10.40087681, 2.09569814
3.60622604, 10.42381695, 2.05137344
3.60124320, 10.43577271, 2.01398874
3.62935148, 10.43122120, 1.98410544
3.69047616, 10.40754532, 1.95937220
3.77760003, 10.37243239, 1.93933072
3.87870290, 10.34209262, 1.92614397
3.97940644, 10.33345932, 1.91518630
4.06593013, 10.35873916, 1.89453884
4.13371062, 10.41650386, 1.85868507
4.18555994, 10.48937807, 1.81709686
4.22291771, 10.55581326, 1.78306524
4.24480815, 10.60080273, 1.76543906
4.25048655, 10.61585117, 1.76643643
4.24098510, 10.59652354, 1.78599548
4.22039737, 10.54301147, 1.82066741
4.19419015, 10.45984530, 1.86216897
4.16758007, 10.35539226, 1.90164822
4.14685863, 10.24406154, 1.93487623
4.13669538, 10.14192063, 1.96279953
4.14104513, 10.06335514, 1.98703455
4.16176074, 10.01750559, 2.01032104
4.19517569, 10.00835230, 2.03847195
4.23372336, 10.03517408, 2.07571190
4.27107323, 10.09106378, 2.11999117
4.30548511, 10.16366200, 2.16544391
4.33907028, 10.23925102, 2.20650191
4.37258187, 10.30309107, 2.23792869
4.40687965, 10.34045139, 2.25840758
4.43774912, 10.34343625, 2.27259900
4.45347706, 10.31807252, 2.28299351
4.44134362, 10.28393418, 2.28237772
4.39631657, 10.26145085, 2.25916881
4.32503844, 10.26187663, 2.20592669
4.24253891, 10.28511643, 2.12183963
4.16253102, 10.32255980, 2.01392529
4.08666684, 10.36547769, 1.89562471
4.00823161, 10.40735954, 1.78572073
3.91843358, 10.44194045, 1.70623529
3.82109573, 10.46657379, 1.67233542
3.74005837, 10.47478962, 1.68631006
3.70384130, 10.45619473, 1.74466436
3.71670544, 10.41066371, 1.83979566
3.75749613, 10.35478149, 1.95939682
3.80206422, 10.30676344, 2.08978697
3.83256038, 10.28180771, 2.21704659
3.83905417, 10.28860742, 2.32792456
3.82539730, 10.32025218, 2.41156468
3.80456836, 10.35802182, 2.46041785
3.79381605, 10.37752628, 2.47365907
3.80996006, 10.35801871, 2.45816676
3.86110403, 10.29620113, 2.42582141
3.94410923, 10.21088584, 2.38807555
4.05140666, 10.12715870, 2.35026347
4.16713398, 10.06568246, 2.31055623
4.25888415, 10.04329843, 2.26768210
4.29931994, 10.06829299, 2.21975123
4.28883657, 10.12934648, 2.16678876
4.24342872, 10.20552039, 2.11391710
4.17665101, 10.28042713, 2.06476637
4.09716357, 10.34685091, 2.01720809
4.01280131, 10.39985184, 1.96845857
3.92638271, 10.43592423, 1.91740987
3.84375096, 10.44807102, 1.86453387
3.77684016, 10.42649518, 1.81117024
3.73486582, 10.36930580, 1.75749852
3.71814081, 10.29118346, 1.70731131
3.72677192, 10.21661866, 1.67371685
3.76600436, 10.16750192, 1.67761760
3.83409096, 10.15529048, 1.73408763
3.91892589, 10.17207097, 1.83769551
4.01067755, 10.19646304, 1.96401865
4.10027551, 10.20131190, 2.07700086
4.17710787, 10.16085328, 2.14052131
4.23018121, 10.07827475, 2.14357381
4.24491101, 9.99032106, 2.09970131
4.21412195, 9.93221556, 2.02590798
4.15374135, 9.90957625, 1.94153110
4.09244470, 9.90458854, 1.86758645
4.04948506, 9.90344417, 1.82074727
4.02630256, 9.90824933, 1.80917295
4.01567497, 9.92541869, 1.83372692
4.01390779, 9.95447835, 1.88953135
4.02450059, 9.98551924, 1.97015420
4.05341138, 10.00488550, 2.06905367
4.09970786, 10.00578147, 2.17772364
4.15275132, 9.99488141, 2.28503889
4.20069479, 9.98706210, 2.38045920
4.23456365, 9.99569062, 2.45446942
4.24838536, 10.02967973, 2.49869543
4.24075283, 10.09415529, 2.50882950
4.21682933, 10.18900651, 2.48631343
4.18746031, 10.30782892, 2.43679761
4.16528840, 10.44071149, 2.36721396
4.15891502, 10.57350933, 2.28892964
4.17037743, 10.69392917, 2.21597260
4.19385827, 10.78039866, 2.17508132
4.21519347, 10.80771294, 2.19092550
4.21473790, 10.77366899, 2.24490410
4.18001844, 10.69741875, 2.29828736
4.11987185, 10.60273192, 2.34046256
4.05774508, 10.50766734, 2.38375079
4.01356176, 10.42212322, 2.43472552
3.99309077, 10.35020423, 2.48744532
3.99072764, 10.30125242, 2.52485650
3.99815972, 10.28659486, 2.52980257
4.01019711, 10.30561665, 2.49049029
4.02476534, 10.34027733, 2.40254851
4.03950000, 10.37110874, 2.26990778
4.05066874, 10.39163268, 2.10767418
4.05823235, 10.40753492, 1.93964066
4.05804721, 10.42779557, 1.79569062
4.04091710, 10.45631565, 1.70081675
4.00953071, 10.49111192, 1.66148422
3.98012882, 10.52369516, 1.66704564
3.97080849, 10.54477620, 1.70276707
3.99338057, 10.55011078, 1.75564630
4.04895105, 10.54156322, 1.81317339
4.12826608, 10.52214195, 1.86266568
4.21566104, 10.49186173, 1.89150393
4.29566743, 10.44873135, 1.89119148
4.35734242, 10.39376292, 1.86811941
4.39608159, 10.33640475, 1.84799931
4.41538588, 10.29374781, 1.86365294
4.42253920, 10.27465683, 1.92857647
4.42025495, 10.26989028, 2.02474405
4.40333560, 10.26476133, 2.12077275
4.36889888, 10.24977720, 2.19556539
4.32279610, 10.22048838, 2.24464837
4.27426003, 10.17716543, 2.27366058
4.23171838, 10.12692978, 2.28892963
4.20218802, 10.08144535, 2.29535440
4.18850618, 10.05333346, 2.29345605
4.18711915, 10.05058831, 2.27941829
4.18816156, 10.07131858, 2.24856161
4.17607761, 10.10350727, 2.19835860
4.13661551, 10.13173387, 2.12855768
4.06723768, 10.14681936, 2.04126557
3.98163655, 10.14760877, 1.94426588
3.90289888, 10.13769810, 1.85296589
3.85867929, 10.12734585, 1.78910755
3.87295767, 10.13374646, 1.77423529
3.94467585, 10.16613754, 1.80724097
4.04482897, 10.21811478, 1.86437845
4.14277990, 10.28419166, 1.92500627
4.21746905, 10.36141677, 1.97807039
4.25808938, 10.44022964, 2.02009813
4.26348650, 10.50867406, 2.05196837
4.24293555, 10.55939623, 2.07656747
4.21660543, 10.58929760, 2.09541972
4.20678672, 10.59856430, 2.10889462
4.22209844, 10.59240920, 2.11808276
4.25194237, 10.57818714, 2.12350122
4.27669642, 10.55844616, 2.12432449
4.27974707, 10.52979283, 2.11881050
4.25304645, 10.49152627, 2.10629118
4.19833683, 10.44695547, 2.08890674
4.12139347, 10.39981759, 2.07353330
4.02787231, 10.35148350, 2.06852802
3.92251363, 10.29934060, 2.07980701
3.81312155, 10.24277031, 2.10531116
3.71520339, 10.18788966, 2.13329618
3.65315261, 10.14431562, 2.14666046
3.65362635, 10.11637866, 2.12668739
3.72385787, 10.09879360, 2.06814025
3.84425127, 10.08500104, 1.98526937
3.98423392, 10.07736101, 1.89762391
4.11472485, 10.08267312, 1.82343028
4.21234069, 10.11081736, 1.78160218
4.26598908, 10.17110168, 1.78391393
4.28018675, 10.26100787, 1.82346944
4.26747724, 10.36442005, 1.88393019
4.23799141, 10.45894104, 1.95046936
4.19718824, 10.51925427, 2.01198106
4.15013968, 10.52842222, 2.06343913
4.10332588, 10.48777477, 2.10327825
4.06221480, 10.41243482, 2.13155162
4.02970978, 10.32206516, 2.14719713
4.00764768, 10.23422615, 2.14695411
4.00216771, 10.16272943, 2.12832313
4.02258299, 10.11832212, 2.09371834
4.07297438, 10.10600014, 2.04998319
4.14302403, 10.12345075, 2.00487203
4.21075240, 10.16162027, 1.96662761
4.25700441, 10.20611134, 1.94076589
4.27679036, 10.24012059, 1.92925323
4.27679717, 10.25487442, 1.92841828
4.26566477, 10.25623839, 1.92957138
4.25000890, 10.25674884, 1.92618236
4.23299638, 10.26446899, 1.91793955
4.21488010, 10.28063362, 1.90996588
4.19306484, 10.30251307, 1.90752636
4.16399187, 10.32718284, 1.91288985
4.12524208, 10.35206885, 1.92606544
4.07491894, 10.37537487, 1.94583893
4.01288035, 10.39817185, 1.97141916
3.94174025, 10.42360386, 2.00167265
3.87204351, 10.45414240, 2.03229425
3.82220647, 10.48910500, 2.05590739
3.80785082, 10.52205051, 2.06667929
3.82828144, 10.54399098, 2.06454119
3.87003147, 10.54732691, 2.05399544
3.91909962, 10.52572490, 2.03935893
3.96616672, 10.47658885, 2.02171301
4.00757125, 10.40161212, 1.99956435
4.04236058, 10.30659983, 1.97318640
4.06728792, 10.20558284, 1.94276768
4.07814964, 10.11755467, 1.90593835
4.07047824, 10.06111177, 1.86098173
4.04690666, 10.04859251, 1.82045464
4.02800427, 10.07824034, 1.81644236
4.03717655, 10.13576202, 1.87468514
4.06229420, 10.20404581, 1.97718062
4.08193801, 10.27216831, 2.09294764
4.08708662, 10.33544277, 2.20449711
4.07958106, 10.39405338, 2.30325213
4.06577970, 10.44829279, 2.38307789
4.05541120, 10.49741154, 2.43731756
4.05891648, 10.53983916, 2.46054051
4.08193832, 10.57328701, 2.45275510
4.12083911, 10.59656005, 2.42077288
4.16646046, 10.60962170, 2.37511795
4.20933976, 10.61318175, 2.32632367
4.24138809, 10.60960086, 2.28116415
4.25784120, 10.60183319, 2.24146628
4.25885138, 10.59152947, 2.20623873
4.24640546, 10.57770213, 2.17337503
4.22232350, 10.55747181, 2.14149921
4.18842717, 10.52794910, 2.11063132
4.15033817, 10.48727575, 2.08259199
4.11653017, 10.43643598, 2.06346036
4.09171970, 10.38024804, 2.06223999
4.07302347, 10.32629845, 2.08128776
4.05159673, 10.28257928, 2.11300871
4.02109205, 10.25324295, 2.14496712
3.98266467, 10.23754867, 2.16660982
3.94313425, 10.23165583, 2.17188305
3.91115904, 10.23171738, 2.15789843
3.89277051, 10.23542347, 2.12483781
3.88710385, 10.24149511, 2.07921263
3.88658857, 10.24832994, 2.03513478
3.88031937, 10.25461769, 2.01200386
3.86331272, 10.26168102, 2.02453371
3.83938159, 10.27368479, 2.07340903
3.81489810, 10.29114357, 2.14458249
3.79204201, 10.30941755, 2.21904720
3.77075261, 10.32177732, 2.28093973
3.75358020, 10.32432996, 2.31990209
3.74748801, 10.31664702, 2.33106257
3.76079309, 10.30264523, 2.31332658
3.80206667, 10.29007743, 2.26953923
3.87732866, 10.28857667, 2.20585267
3.98253071, 10.30413988, 2.13224400
4.10193193, 10.33626732, 2.06301323
4.21584645, 10.37817549, 2.01194727
4.30879303, 10.42321331, 1.98747591
4.37132025, 10.46697033, 1.98491492
4.39973883, 10.50552863, 1.99214587
4.39268856, 10.53103273, 1.99884216
4.35289219, 10.53223773, 2.00125065
4.28901865, 10.50163634, 1.99908329
4.21653560, 10.44002457, 1.99061318
4.15036130, 10.35427117, 1.97471699
4.09715079, 10.25641575, 1.95486904
4.05654422, 10.16400228, 1.94351260
4.02702265, 10.09826447, 1.96088798
4.00590015, 10.07225159, 2.01903379
3.98899518, 10.08000466, 2.10481837
3.97718027, 10.10681345, 2.19171341
3.97747862, 10.14022984, 2.25850329
3.99664081, 10.17087184, 2.29412108
4.03676043, 10.19484277, 2.29625872
4.09474802, 10.21547594, 2.26893776
4.16275475, 10.23848663, 2.22110881
4.23157208, 10.26658021, 2.16507334
4.28988802, 10.29714421, 2.11529098
4.32477906, 10.32603789, 2.08797304
4.32557817, 10.35022155, 2.09686928
4.29206374, 10.37017579, 2.14265664
4.23643211, 10.38528264, 2.20875658
4.17781497, 10.39000017, 2.26977253
4.13524840, 10.37905403, 2.29828803
4.11868586, 10.35273721, 2.27689750
4.12211646, 10.31838836, 2.20866682
4.13318792, 10.28431615, 2.11503008
4.14477726, 10.25470421, 2.02243029
4.15567110, 10.22779427, 1.95349643
4.16826536, 10.19650095, 1.92232272
4.18671757, 10.15222975, 1.93479564
4.21467713, 10.09350517, 1.98592889
4.25279559, 10.03111068, 2.05984263
4.29942763, 9.98097903, 2.13505005
4.35235644, 9.95462639, 2.19330514
4.40122115, 9.95314997, 2.22320045
4.42817637, 9.96873364, 2.22411586
4.41657039, 9.99609950, 2.20898371
4.36084765, 10.03841396, 2.20297772
4.26865625, 10.10186857, 2.22345263
4.15362579, 10.18802262, 2.26351703
4.02958732, 10.28903085, 2.30043829
3.91127271, 10.39096168, 2.31418355
3.81062777, 10.48198677, 2.29568302
3.74121927, 10.54540301, 2.24820502
3.72449897, 10.56129889, 2.19331119
3.77901800, 10.51998517, 2.15972263
3.88724566, 10.43502356, 2.15071825
4.00886177, 10.33217043, 2.14468296
4.11452032, 10.23817494, 2.12041477
4.19058325, 10.17145360, 2.06790220
4.23706039, 10.13558444, 1.99142181
4.26424442, 10.12544300, 1.90599547
4.28390891, 10.13593881, 1.82804266
4.30338961, 10.16307919, 1.77157282
4.32563313, 10.19811456, 1.74959796
4.35060133, 10.22537578, 1.77402380
4.37291565, 10.23132075, 1.84842838
4.38207176, 10.21817771, 1.95968740
4.36712498, 10.20132865, 2.08098304
4.32345819, 10.20347579, 2.17787877
4.25768067, 10.25159263, 2.22158691
4.18012730, 10.35186294, 2.21137574
4.09733857, 10.47505369, 2.17168578
4.01903187, 10.58276834, 2.11937858
3.95878879, 10.64395082, 2.06067250
3.92441326, 10.64621860, 2.00277002
3.91727340, 10.60442896, 1.95943047
3.93791326, 10.54272254, 1.94357676
3.98350366, 10.47845069, 1.96128373
4.04337913, 10.41995330, 2.00638538
4.10437666, 10.37029008, 2.06554609
4.15346288, 10.32960130, 2.12171132
4.18118271, 10.29306640, 2.15481937
4.18735809, 10.24953682, 2.15579679
4.18197655, 10.19039491, 2.13203508
4.17712626, 10.11713522, 2.09688901
4.18296550, 10.04288620, 2.06155001
4.20945569, 9.98710464, 2.03366924
4.25885982, 9.96848500, 2.01915243
4.31376157, 9.99719394, 2.02131405
4.34718144, 10.07224990, 2.04309630
4.34650280, 10.17473148, 2.08359507
4.31905035, 10.27086707, 2.13149601
4.28170349, 10.33078046, 2.16646888
4.24971698, 10.34858756, 2.18010477
4.23055062, 10.34248577, 2.18418169
4.22310514, 10.33137730, 2.18883982
4.21877194, 10.32561794, 2.19045060
4.20105527, 10.33151005, 2.17618310
4.15455468, 10.35058642, 2.13550370
4.08579532, 10.37441132, 2.07512130
4.02275538, 10.39121440, 2.01773562
3.99040321, 10.39462323, 1.98806416
3.99685767, 10.38242931, 2.00026371
4.03429930, 10.35455213, 2.05461902
4.08960846, 10.31268454, 2.14221288
4.15322436, 10.26096231, 2.24683495
4.21744963, 10.20626584, 2.34901220
4.26691889, 10.15994959, 2.42324247
4.27799658, 10.13770847, 2.44396800
4.23435255, 10.14677670, 2.40388896
4.14626491, 10.17821702, 2.31900782
4.04024470, 10.21512067, 2.21286021
3.93737195, 10.24257199, 2.10247854
