q (1/Ã…), Static structure factor S(q)
5.53434856e-02, -1.83255065e-06
1.66030457e-01, 0.00000000e+00
2.76717428e-01, 2.25035583e-02
3.87404399e-01, 2.25035583e-02
4.98091370e-01, 2.69330695e-02
6.08778341e-01, 2.75404554e-02
7.19465312e-01, 3.27973092e-02
8.30152283e-01, 3.36455843e-02
9.40839254e-01, 3.82474683e-02
1.05152623e+00, 4.32052430e-02
1.16221320e+00, 4.61750300e-02
1.27290017e+00, 5.25571562e-02
1.38358714e+00, 5.88904161e-02
1.49427411e+00, 8.08972268e-02
1.60496108e+00, 9.92041493e-02
1.71564805e+00, 1.23668056e-01
1.82633502e+00, 1.93327164e-01
1.93702199e+00, 2.46532889e-01
2.04770897e+00, 3.90738243e-01
2.15839594e+00, 5.43487485e-01
2.26908291e+00, 8.15246529e-01
2.37976988e+00, 1.12493984e+00
2.49045685e+00, 1.52555340e+00
2.60114382e+00, 2.20886301e+00
2.71183079e+00, 2.39177179e+00
2.82251776e+00, 2.33368260e+00
2.93320473e+00, 1.81715627e+00
3.04389171e+00, 1.34990660e+00
3.15457868e+00, 9.62308789e-01
3.26526565e+00, 7.80636937e-01
3.37595262e+00, 6.38074414e-01
3.48663959e+00, 5.73836626e-01
3.59732656e+00, 5.26653210e-01
3.70801353e+00, 5.25667808e-01
3.81870050e+00, 5.50274139e-01
3.92938747e+00, 5.82134837e-01
4.04007445e+00, 6.58736377e-01
4.15076142e+00, 7.46908314e-01
4.26144839e+00, 8.91303979e-01
4.37213536e+00, 1.02201939e+00
4.48282233e+00, 1.14761820e+00
4.59350930e+00, 1.23977591e+00
4.70419627e+00, 1.29923393e+00
4.81488324e+00, 1.27882386e+00
4.92557021e+00, 1.23949487e+00
5.03625719e+00, 1.20988038e+00
5.14694416e+00, 1.16477835e+00
5.25763113e+00, 1.12694378e+00
5.36831810e+00, 1.09379005e+00
5.47900507e+00, 1.04584624e+00
5.58969204e+00, 9.89709383e-01
5.70037901e+00, 9.33824597e-01
5.81106598e+00, 8.87434249e-01
5.92175295e+00, 8.48543989e-01
6.03243992e+00, 8.30625207e-01
6.14312690e+00, 8.33649266e-01
6.25381387e+00, 8.51517609e-01
6.36450084e+00, 8.74341591e-01
6.47518781e+00, 9.13145701e-01
6.58587478e+00, 9.62951260e-01
6.69656175e+00, 1.00334653e+00
6.80724872e+00, 1.04720434e+00
6.91793569e+00, 1.07348428e+00
7.02862266e+00, 1.09185399e+00
7.13930964e+00, 1.09920674e+00
7.24999661e+00, 1.09602916e+00
7.36068358e+00, 1.08786249e+00
7.47137055e+00, 1.07900484e+00
7.58205752e+00, 1.06063901e+00
7.69274449e+00, 1.03612808e+00
7.80343146e+00, 1.01549630e+00
7.91411843e+00, 9.94984552e-01
8.02480540e+00, 9.70900937e-01
8.13549238e+00, 9.59278479e-01
8.24617935e+00, 9.48837153e-01
8.35686632e+00, 9.39578832e-01
8.46755329e+00, 9.37467938e-01
8.57824026e+00, 9.41535448e-01
8.68892723e+00, 9.48482702e-01
8.79961420e+00, 9.63757703e-01
8.91030117e+00, 9.80117855e-01
9.02098814e+00, 9.94971295e-01
9.13167512e+00, 1.01270429e+00
9.24236209e+00, 1.02256014e+00
9.35304906e+00, 1.02726392e+00
9.46373603e+00, 1.03226411e+00
9.57442300e+00, 1.03693391e+00
9.68510997e+00, 1.03728603e+00
9.79579694e+00, 1.03148770e+00
9.90648391e+00, 1.02650339e+00
1.00171709e+01, 1.02221196e+00
1.01278579e+01, 1.01081614e+00
1.02385448e+01, 1.00116948e+00
1.03492318e+01, 9.93941733e-01
1.04599188e+01, 9.89186450e-01
1.05706057e+01, 9.83193164e-01
1.06812927e+01, 9.79179037e-01
1.07919797e+01, 9.77955132e-01
1.09026667e+01, 9.76820644e-01
1.10133536e+01, 9.80336494e-01