delta tau, 1st order E0 estimate, 1st order 2 sigma error,2nd order E0 estimate, 2nd order 2 sigma error,delta tau fit, 1st order fit, 1st order 2 sigma prediction interval, 2nd order fit, 2nd order 2 sigma prediction interval
5.000000e-03, -2.904391e+00, 1.934677e-03, -2.902901e+00, 2.199593e-03, 0.000000e+00, -2.901934e+00, 4.492620e-04, -2.899897e+00, 8.349862e-04
1.000000e-02, -2.906456e+00, 2.279703e-03, -2.904048e+00, 1.913806e-03, 4.040404e-03, -2.903213e+00, 4.425876e-04, -2.900356e+00, 8.019600e-04
1.500000e-02, -2.908771e+00, 1.470399e-03, -2.902861e+00, 1.942938e-03, 8.080808e-03, -2.904493e+00, 4.359437e-04, -2.900822e+00, 7.699219e-04
2.000000e-02, -2.909882e+00, 1.860009e-03, -2.903385e+00, 1.820237e-03, 1.212121e-02, -2.905772e+00, 4.293318e-04, -2.901295e+00, 7.388929e-04
2.500000e-02, -2.908022e+00, 1.718018e-03, -2.903629e+00, 1.613668e-03, 1.616162e-02, -2.907052e+00, 4.227534e-04, -2.901776e+00, 7.088955e-04
3.000000e-02, -2.914060e+00, 2.454924e-03, -2.904706e+00, 2.342085e-03, 2.020202e-02, -2.908331e+00, 4.162100e-04, -2.902265e+00, 6.799539e-04
3.500000e-02, -2.913278e+00, 2.050713e-03, -2.904837e+00, 2.009473e-03, 2.424242e-02, -2.909611e+00, 4.097034e-04, -2.902761e+00, 6.520942e-04
4.000000e-02, -2.916223e+00, 1.765673e-03, -2.906660e+00, 1.934374e-03, 2.828283e-02, -2.910890e+00, 4.032352e-04, -2.903265e+00, 6.253443e-04
4.500000e-02, -2.916811e+00, 2.000463e-03, -2.905529e+00, 2.283335e-03, 3.232323e-02, -2.912169e+00, 3.968075e-04, -2.903776e+00, 5.997334e-04
5.000000e-02, -2.920269e+00, 1.834598e-03, -2.906290e+00, 1.760782e-03, 3.636364e-02, -2.913449e+00, 3.904221e-04, -2.904295e+00, 5.752925e-04
5.500000e-02, -2.918797e+00, 1.867290e-03, -2.904730e+00, 1.860070e-03, 4.040404e-02, -2.914728e+00, 3.840812e-04, -2.904821e+00, 5.520533e-04
6.000000e-02, -2.919658e+00, 1.808323e-03, -2.906694e+00, 2.394913e-03, 4.444444e-02, -2.916008e+00, 3.777870e-04, -2.905355e+00, 5.300485e-04
6.500000e-02, -2.921741e+00, 1.850520e-03, -2.907767e+00, 1.713192e-03, 4.848485e-02, -2.917287e+00, 3.715420e-04, -2.905897e+00, 5.093106e-04
7.000000e-02, -2.922614e+00, 1.875901e-03, -2.908397e+00, 2.366154e-03, 5.252525e-02, -2.918567e+00, 3.653486e-04, -2.906446e+00, 4.898712e-04
7.500000e-02, -2.925203e+00, 1.363148e-03, -2.908800e+00, 1.802197e-03, 5.656566e-02, -2.919846e+00, 3.592095e-04, -2.907002e+00, 4.717604e-04
8.000000e-02, -2.927521e+00, 1.981872e-03, -2.910046e+00, 1.666702e-03, 6.060606e-02, -2.921126e+00, 3.531275e-04, -2.907566e+00, 4.550046e-04
8.500000e-02, -2.927956e+00, 1.924138e-03, -2.908687e+00, 1.448298e-03, 6.464646e-02, -2.922405e+00, 3.471056e-04, -2.908138e+00, 4.396262e-04
9.000000e-02, -2.931184e+00, 1.731868e-03, -2.911844e+00, 2.488377e-03, 6.868687e-02, -2.923685e+00, 3.411471e-04, -2.908717e+00, 4.256409e-04
9.500000e-02, -2.932037e+00, 2.103511e-03, -2.911330e+00, 2.444662e-03, 7.272727e-02, -2.924964e+00, 3.352553e-04, -2.909304e+00, 4.130569e-04
1.000000e-01, -2.933474e+00, 1.887159e-03, -2.912278e+00, 1.815512e-03, 7.676768e-02, -2.926243e+00, 3.294337e-04, -2.909899e+00, 4.018726e-04
1.050000e-01, -2.935244e+00, 1.616867e-03, -2.913067e+00, 1.952521e-03, 8.080808e-02, -2.927523e+00, 3.236862e-04, -2.910500e+00, 3.920754e-04
1.100000e-01, -2.937200e+00, 2.202637e-03, -2.914061e+00, 1.779601e-03, 8.484848e-02, -2.928802e+00, 3.180168e-04, -2.911110e+00, 3.836407e-04
1.150000e-01, -2.938633e+00, 1.695679e-03, -2.915449e+00, 1.924567e-03, 8.888889e-02, -2.930082e+00, 3.124297e-04, -2.911727e+00, 3.765308e-04
1.200000e-01, -2.938326e+00, 1.741139e-03, -2.916098e+00, 1.743206e-03, 9.292929e-02, -2.931361e+00, 3.069294e-04, -2.912351e+00, 3.706953e-04
1.250000e-01, -2.940899e+00, 1.910215e-03, -2.916105e+00, 1.774378e-03, 9.696970e-02, -2.932641e+00, 3.015208e-04, -2.912984e+00, 3.660711e-04
1.300000e-01, -2.941900e+00, 1.868311e-03, -2.917253e+00, 1.717444e-03, 1.010101e-01, -2.933920e+00, 2.962087e-04, -2.913623e+00, 3.625840e-04
1.350000e-01, -2.944571e+00, 2.171263e-03, -2.918706e+00, 3.635376e-03, 1.050505e-01, -2.935200e+00, 2.909985e-04, -2.914270e+00, 3.601501e-04
1.400000e-01, -2.944777e+00, 1.709559e-03, -2.919255e+00, 1.591258e-03, 1.090909e-01, -2.936479e+00, 2.858957e-04, -2.914925e+00, 3.586780e-04
1.450000e-01, -2.947769e+00, 1.985967e-03, -2.920523e+00, 1.874166e-03, 1.131313e-01, -2.937758e+00, 2.809063e-04, -2.915588e+00, 3.580712e-04
1.500000e-01, -2.948698e+00, 1.407626e-03, -2.920296e+00, 1.898853e-03, 1.171717e-01, -2.939038e+00, 2.760364e-04, -2.916257e+00, 3.582299e-04
1.550000e-01, -2.950785e+00, 1.923375e-03, -2.922396e+00, 2.469890e-03, 1.212121e-01, -2.940317e+00, 2.712923e-04, -2.916935e+00, 3.590543e-04
1.600000e-01, -2.952328e+00, 1.479390e-03, -2.924054e+00, 1.553867e-03, 1.252525e-01, -2.941597e+00, 2.666808e-04, -2.917620e+00, 3.604454e-04
1.650000e-01, -2.954156e+00, 1.514353e-03, -2.923624e+00, 2.199397e-03, 1.292929e-01, -2.942876e+00, 2.622090e-04, -2.918312e+00, 3.623075e-04
1.700000e-01, -2.954953e+00, 1.471552e-03, -2.926728e+00, 1.973007e-03, 1.333333e-01, -2.944156e+00, 2.578840e-04, -2.919013e+00, 3.645492e-04
1.750000e-01, -2.956377e+00, 1.556362e-03, -2.925991e+00, 1.736302e-03, 1.373737e-01, -2.945435e+00, 2.537133e-04, -2.919720e+00, 3.670843e-04
1.800000e-01, -2.958538e+00, 1.358878e-03, -2.926213e+00, 1.977339e-03, 1.414141e-01, -2.946715e+00, 2.497048e-04, -2.920435e+00, 3.698326e-04
1.850000e-01, -2.959348e+00, 1.975476e-03, -2.927580e+00, 1.845457e-03, 1.454545e-01, -2.947994e+00, 2.458664e-04, -2.921158e+00, 3.727200e-04
1.900000e-01, -2.961261e+00, 1.772714e-03, -2.928588e+00, 1.594432e-03, 1.494949e-01, -2.949274e+00, 2.422061e-04, -2.921889e+00, 3.756790e-04
1.950000e-01, -2.963775e+00, 2.013562e-03, -2.931555e+00, 1.997277e-03, 1.535354e-01, -2.950553e+00, 2.387321e-04, -2.922626e+00, 3.786484e-04
2.000000e-01, -2.966044e+00, 1.853160e-03, -2.932647e+00, 1.821287e-03, 1.575758e-01, -2.951832e+00, 2.354526e-04, -2.923372e+00, 3.815730e-04
2.050000e-01, -2.967301e+00, 1.630647e-03, -2.933993e+00, 2.240755e-03, 1.616162e-01, -2.953112e+00, 2.323760e-04, -2.924125e+00, 3.844036e-04
2.100000e-01, -2.969209e+00, 1.805014e-03, -2.933343e+00, 1.919252e-03, 1.656566e-01, -2.954391e+00, 2.295103e-04, -2.924885e+00, 3.870966e-04
2.150000e-01, -2.970533e+00, 1.971493e-03, -2.935745e+00, 2.159893e-03, 1.696970e-01, -2.955671e+00, 2.268636e-04, -2.925653e+00, 3.896138e-04
2.200000e-01, -2.972956e+00, 1.551198e-03, -2.936099e+00, 1.838128e-03, 1.737374e-01, -2.956950e+00, 2.244436e-04, -2.926429e+00, 3.919216e-04
2.250000e-01, -2.973556e+00, 1.812673e-03, -2.936788e+00, 1.920968e-03, 1.777778e-01, -2.958230e+00, 2.222577e-04, -2.927212e+00, 3.939914e-04
2.300000e-01, -2.972781e+00, 1.643536e-03, -2.940180e+00, 1.842613e-03, 1.818182e-01, -2.959509e+00, 2.203129e-04, -2.928003e+00, 3.957985e-04
2.350000e-01, -2.976486e+00, 1.760502e-03, -2.940944e+00, 1.867339e-03, 1.858586e-01, -2.960789e+00, 2.186156e-04, -2.928801e+00, 3.973228e-04
2.400000e-01, -2.977522e+00, 1.654234e-03, -2.941254e+00, 2.239533e-03, 1.898990e-01, -2.962068e+00, 2.171717e-04, -2.929607e+00, 3.985474e-04
2.450000e-01, -2.979471e+00, 1.437690e-03, -2.941460e+00, 2.573707e-03, 1.939394e-01, -2.963348e+00, 2.159861e-04, -2.930420e+00, 3.994596e-04
2.500000e-01, -2.981326e+00, 1.787186e-03, -2.942100e+00, 1.897116e-03, 1.979798e-01, -2.964627e+00, 2.150632e-04, -2.931241e+00, 4.000498e-04
2.550000e-01, -2.980506e+00, 1.577800e-03, -2.943768e+00, 1.735835e-03, 2.020202e-01, -2.965906e+00, 2.144063e-04, -2.932070e+00, 4.003119e-04
2.600000e-01, -2.984388e+00, 1.818359e-03, -2.945853e+00, 2.058230e-03, 2.060606e-01, -2.967186e+00, 2.140180e-04, -2.932906e+00, 4.002431e-04
2.650000e-01, -2.986150e+00, 1.886965e-03, -2.947755e+00, 1.825860e-03, 2.101010e-01, -2.968465e+00, 2.138996e-04, -2.933750e+00, 3.998438e-04
2.700000e-01, -2.988034e+00, 1.665684e-03, -2.947656e+00, 1.629147e-03, 2.141414e-01, -2.969745e+00, 2.140516e-04, -2.934601e+00, 3.991177e-04
2.750000e-01, -2.989472e+00, 1.812233e-03, -2.948785e+00, 2.174054e-03, 2.181818e-01, -2.971024e+00, 2.144736e-04, -2.935460e+00, 3.980718e-04
2.800000e-01, -2.989878e+00, 2.108351e-03, -2.951213e+00, 1.631512e-03, 2.222222e-01, -2.972304e+00, 2.151637e-04, -2.936326e+00, 3.967165e-04
2.850000e-01, -2.991790e+00, 1.586283e-03, -2.950976e+00, 1.679912e-03, 2.262626e-01, -2.973583e+00, 2.161196e-04, -2.937200e+00, 3.950657e-04
2.900000e-01, -2.994419e+00, 1.514176e-03, -2.953958e+00, 1.826762e-03, 2.303030e-01, -2.974863e+00, 2.173376e-04, -2.938081e+00, 3.931370e-04
2.950000e-01, -2.995243e+00, 1.334738e-03, -2.954254e+00, 2.079065e-03, 2.343434e-01, -2.976142e+00, 2.188134e-04, -2.938970e+00, 3.909519e-04
3.000000e-01, -2.996907e+00, 1.774187e-03, -2.954959e+00, 1.683949e-03, 2.383838e-01, -2.977421e+00, 2.205419e-04, -2.939866e+00, 3.885361e-04
3.050000e-01, -2.997982e+00, 1.980653e-03, -2.955446e+00, 3.848957e-03, 2.424242e-01, -2.978701e+00, 2.225171e-04, -2.940770e+00, 3.859196e-04
3.100000e-01, -3.000094e+00, 1.918799e-03, -2.957385e+00, 2.671373e-03, 2.464646e-01, -2.979980e+00, 2.247326e-04, -2.941682e+00, 3.831371e-04
3.150000e-01, -3.002858e+00, 1.567600e-03, -2.959166e+00, 1.649406e-03, 2.505051e-01, -2.981260e+00, 2.271812e-04, -2.942601e+00, 3.802286e-04
3.200000e-01, -3.002339e+00, 1.612261e-03, -2.961231e+00, 1.695947e-03, 2.545455e-01, -2.982539e+00, 2.298557e-04, -2.943528e+00, 3.772391e-04
3.250000e-01, -3.005780e+00, 1.673504e-03, -2.961670e+00, 1.897478e-03, 2.585859e-01, -2.983819e+00, 2.327481e-04, -2.944462e+00, 3.742197e-04
3.300000e-01, -3.006843e+00, 1.662236e-03, -2.963573e+00, 1.877363e-03, 2.626263e-01, -2.985098e+00, 2.358504e-04, -2.945404e+00, 3.712274e-04
3.350000e-01, -3.008094e+00, 1.973634e-03, -2.963650e+00, 1.806716e-03, 2.666667e-01, -2.986378e+00, 2.391545e-04, -2.946353e+00, 3.683252e-04
3.400000e-01, -3.009264e+00, 1.548050e-03, -2.964936e+00, 1.579601e-03, 2.707071e-01, -2.987657e+00, 2.426522e-04, -2.947310e+00, 3.655830e-04
3.450000e-01, -3.012830e+00, 1.817105e-03, -2.966118e+00, 1.603577e-03, 2.747475e-01, -2.988937e+00, 2.463352e-04, -2.948275e+00, 3.630767e-04
3.500000e-01, -3.013921e+00, 1.579320e-03, -2.966429e+00, 2.052038e-03, 2.787879e-01, -2.990216e+00, 2.501953e-04, -2.949247e+00, 3.608886e-04
3.550000e-01, -3.013795e+00, 1.829753e-03, -2.969158e+00, 2.612902e-03, 2.828283e-01, -2.991495e+00, 2.542244e-04, -2.950226e+00, 3.591070e-04
3.600000e-01, -3.016012e+00, 1.637512e-03, -2.969980e+00, 1.653140e-03, 2.868687e-01, -2.992775e+00, 2.584147e-04, -2.951213e+00, 3.578249e-04
3.650000e-01, -3.017764e+00, 1.951205e-03, -2.970575e+00, 1.785957e-03, 2.909091e-01, -2.994054e+00, 2.627584e-04, -2.952208e+00, 3.571398e-04
3.700000e-01, -3.018759e+00, 1.782880e-03, -2.973353e+00, 2.024676e-03, 2.949495e-01, -2.995334e+00, 2.672480e-04, -2.953210e+00, 3.571515e-04
3.750000e-01, -3.020040e+00, 1.751256e-03, -2.973830e+00, 2.110478e-03, 2.989899e-01, -2.996613e+00, 2.718764e-04, -2.954220e+00, 3.579607e-04
3.800000e-01, -3.022522e+00, 1.624104e-03, -2.975315e+00, 2.004106e-03, 3.030303e-01, -2.997893e+00, 2.766365e-04, -2.955237e+00, 3.596669e-04
3.850000e-01, -3.025143e+00, 1.739763e-03, -2.976338e+00, 2.295729e-03, 3.070707e-01, -2.999172e+00, 2.815217e-04, -2.956262e+00, 3.623660e-04
3.900000e-01, -3.025117e+00, 1.745080e-03, -2.978395e+00, 1.728549e-03, 3.111111e-01, -3.000452e+00, 2.865256e-04, -2.957295e+00, 3.661478e-04
3.950000e-01, -3.026094e+00, 1.863266e-03, -2.977613e+00, 1.860364e-03, 3.151515e-01, -3.001731e+00, 2.916420e-04, -2.958335e+00, 3.710941e-04
4.000000e-01, -3.029399e+00, 1.320220e-03, -2.981134e+00, 1.811001e-03, 3.191919e-01, -3.003011e+00, 2.968652e-04, -2.959382e+00, 3.772762e-04
, , , , , 3.232323e-01, -3.004290e+00, 3.021896e-04, -2.960438e+00, 3.847538e-04
, , , , , 3.272727e-01, -3.005569e+00, 3.076100e-04, -2.961500e+00, 3.935736e-04
, , , , , 3.313131e-01, -3.006849e+00, 3.131213e-04, -2.962570e+00, 4.037693e-04
, , , , , 3.353535e-01, -3.008128e+00, 3.187189e-04, -2.963648e+00, 4.153616e-04
, , , , , 3.393939e-01, -3.009408e+00, 3.243982e-04, -2.964733e+00, 4.283596e-04
, , , , , 3.434343e-01, -3.010687e+00, 3.301552e-04, -2.965826e+00, 4.427612e-04
, , , , , 3.474747e-01, -3.011967e+00, 3.359857e-04, -2.966927e+00, 4.585556e-04
, , , , , 3.515152e-01, -3.013246e+00, 3.418860e-04, -2.968035e+00, 4.757243e-04
, , , , , 3.555556e-01, -3.014526e+00, 3.478526e-04, -2.969150e+00, 4.942432e-04
, , , , , 3.595960e-01, -3.015805e+00, 3.538822e-04, -2.970273e+00, 5.140842e-04
, , , , , 3.636364e-01, -3.017084e+00, 3.599714e-04, -2.971404e+00, 5.352163e-04
, , , , , 3.676768e-01, -3.018364e+00, 3.661175e-04, -2.972542e+00, 5.576070e-04
, , , , , 3.717172e-01, -3.019643e+00, 3.723174e-04, -2.973688e+00, 5.812234e-04
, , , , , 3.757576e-01, -3.020923e+00, 3.785687e-04, -2.974841e+00, 6.060328e-04
, , , , , 3.797980e-01, -3.022202e+00, 3.848689e-04, -2.976002e+00, 6.320033e-04
, , , , , 3.838384e-01, -3.023482e+00, 3.912154e-04, -2.977171e+00, 6.591044e-04
, , , , , 3.878788e-01, -3.024761e+00, 3.976062e-04, -2.978347e+00, 6.873067e-04
, , , , , 3.919192e-01, -3.026041e+00, 4.040391e-04, -2.979530e+00, 7.165831e-04
, , , , , 3.959596e-01, -3.027320e+00, 4.105121e-04, -2.980721e+00, 7.469078e-04
, , , , , 4.000000e-01, -3.028600e+00, 4.170235e-04, -2.981920e+00, 7.782569e-04