Distance (nm),Atom Count,C atom%,Co atom%,W atom%,WC atom%,Cr atom%,Fe atom%,C3 atom%,CoH atom%,Ga atom%,Ti atom%,Ni atom%,OH atom%,N atom%,Mn atom%,WO atom%,Ta atom%,P atom%,Al atom%,CrH atom%,Zr atom%,Noise refernece atom%,H atom%,O atom%,C atom% Sigma,Co atom% Sigma,W atom% Sigma,WC atom% Sigma,Cr atom% Sigma,Fe atom% Sigma,C3 atom% Sigma,CoH atom% Sigma,Ga atom% Sigma,Ti atom% Sigma,Ni atom% Sigma,OH atom% Sigma,N atom% Sigma,Mn atom% Sigma,WO atom% Sigma,Ta atom% Sigma,P atom% Sigma,Al atom% Sigma,CrH atom% Sigma,Zr atom% Sigma,Noise refernece atom% Sigma,H atom% Sigma,O atom% Sigma
-10.05000039935112,536,0,97.38805970149254,1.4925373134328357,0,0,0.18656716417910446,0,0,0,0,0.18656716417910446,0,0,0,0,0,0,0,0,0.18656716417910446,0,0.5597014925373134,0,0,0.6888934964797717,0.5237388258190576,0,0,0.18639304639578871,0,0,0,0,0.18639304639578871,0,0,0,0,0,0,0,0,0.18639304639578871,0,0.32223821809854614,0
-9.750000387430191,1703,0.05871990604815032,97.24016441573693,1.1156782149148563,0,0.11743981209630064,0.5871990604815032,0,0,0.17615971814445097,0,0.23487962419260128,0,0,0,0,0,0,0,0,0,0,0.4110393423370522,0.05871990604815032,0.05870266337972744,0.3969694844246619,0.25452231934849157,0,0.08299371071886814,0.18514266342481736,0,0,0.1016162388254984,0,0.1173018099192603,0,0,0,0,0,0,0,0,0,0,0.15503864783032267,0.05870266337972744
-9.450000375509262,1658,0.060313630880579006,97.52714113389625,1.0856453558504222,0,0,0.30156815440289503,0,0,0.060313630880579006,0,0.12062726176115801,0,0.060313630880579006,0,0,0,0,0,0,0,0,0.6634499396863691,0.12062726176115801,0.06029543946683976,0.3813907440689451,0.2544962499177009,0,0,0.13466186955671142,0,0,0.06029543946683976,0,0.08524489393506149,0,0.06029543946683976,0,0,0,0,0,0,0,0,0.19937300414188264,0.08524489393506149
-9.150000363588333,1856,0.16163793103448276,96.98275862068965,1.4008620689655173,0,0.21551724137931033,0.3232758620689655,0,0,0,0.05387931034482758,0.10775862068965517,0,0.10775862068965517,0,0,0,0,0,0,0,0,0.646551724137931,0,0.09324625085690087,0.39706655531291807,0.2728005622168756,0,0.10764243885459059,0.13176332075379277,0,0,0,0.05386479348875246,0.07615578601705397,0,0.07615578601705397,0,0,0,0,0,0,0,0,0.18603905446291796,0
-8.850000351667404,1720,0.3488372093023256,97.61627906976744,0.9302325581395349,0,0.05813953488372093,0.5232558139534884,0,0,0.1744186046511628,0,0,0,0.05813953488372093,0,0,0,0.05813953488372093,0,0,0,0,0.23255813953488372,0,0.1421635839848513,0.3678109091023088,0.23147394649934783,0,0.058122631398879375,0.17396167839918328,0,0,0.10061276970443449,0,0,0,0.058122631398879375,0,0,0,0.058122631398879375,0,0,0,0,0.11614378284581202,0
-8.550000339746475,1748,0,97.19679633867277,1.4874141876430207,0,0,0.40045766590389015,0,0,0.057208237986270026,0,0,0,0.057208237986270026,0,0,0,0,0,0,0,0,0.8009153318077803,0,0,0.3948049480511006,0.2895283565062746,0,0,0.15105540273611887,0,0,0.05719187173275637,0,0,0,0.05719187173275637,0,0,0,0,0,0,0,0,0.21319470883249506,0
-8.250000327825546,1769,0.11305822498586772,97.39966082532504,1.2436404748445449,0,0.05652911249293386,0.4522328999434709,0,0,0.11305822498586772,0,0.11305822498586772,0,0,0,0,0,0,0,0,0,0,0.4522328999434709,0.05652911249293386,0.07989903300796314,0.3783814221744719,0.2634911564284238,0,0.05651313253148582,0.15952653129805977,0,0,0.07989903300796314,0,0.07989903300796314,0,0,0,0,0,0,0,0,0,0,0.15952653129805977,0.05651313253148582
-7.950000315904617,1913,0,97.12493465760585,1.5159435441714584,0,0.15682174594877157,0.31364349189754315,0,0,0.26136957658128596,0,0,0,0.10454783063251437,0.052273915316257184,0,0,0,0,0,0,0,0.4704652378463147,0,0,0.38206015235695084,0.2793617825236269,0,0.09047005533387466,0.12784346019061749,0,0,0.11673517328081716,0,0,0,0.07388782562732414,0.05226025071915632,0,0,0,0,0,0,0,0.15645241514334948,0
-7.650000303983688,1805,0.221606648199446,97.89473684210527,1.218836565096953,0,0,0.33240997229916897,0,0,0,0.0554016620498615,0,0,0,0,0,0,0,0,0,0,0,0.2770083102493075,0,0.11068048223922887,0.33790472425433554,0.2582683587232581,0,0,0.13548006536362606,0,0,0,0.055386313202898454,0,0,0,0,0,0,0,0,0,0,0,0.12371018186672358,0
-7.350000292062759,1964,0,97.70875763747455,1.0183299389002036,0,0.05091649694501018,0.7637474541751528,0,0,0.05091649694501018,0,0,0,0.05091649694501018,0,0,0,0,0,0,0,0,0.2545824847250509,0.10183299389002036,0,0.3376226070490362,0.22654313332206014,0,0.05090353284627808,0.19644425115148195,0,0,0.05090353284627808,0,0,0,0.05090353284627808,0,0,0,0,0,0,0,0,0.1137077314116246,0.07197012784917076
-7.0500002801418304,2002,0.14985014985014986,97.1028971028971,1.1988011988011988,0,0.2997002997002997,0.5494505494505495,0,0,0.0999000999000999,0.04995004995004995,0.04995004995004995,0,0,0,0,0,0,0,0,0,0,0.3996003996003996,0.0999000999000999,0.08645117785576889,0.3748573385072129,0.2432330887183914,0,0.12216865256899676,0.16520982184527522,0,0,0.07060474452949245,0.04993757335438883,0.04993757335438883,0,0,0,0,0,0,0,0,0,0,0.14099751572598251,0.07060474452949245
-6.7500002682209015,2075,0,97.97590361445782,0.6746987951807228,0,0.14457831325301204,0.3373493975903614,0,0,0.09638554216867469,0,0.14457831325301204,0,0,0,0,0,0,0,0,0,0,0.6265060240963854,0,0,0.3091478161487143,0.17971149711309073,0,0.08341196480768578,0.12729083508019265,0,0,0.0681220168366525,0,0.08341196480768578,0,0,0,0,0,0,0,0,0,0,0.17321633887624838,0
-6.4500002562999725,2200,0.27272727272727276,97.45454545454545,1.2727272727272727,0,0.045454545454545456,0.5,0,0,0,0,0,0,0,0.09090909090909091,0,0,0,0,0,0,0,0.3181818181818182,0.045454545454545456,0.11118851131675189,0.33579357545865735,0.23898734519747683,0,0.04544421370183681,0.15037831081521152,0,0,0,0,0,0,0,0.0642532087210761,0,0,0,0,0,0,0,0.12006994580576835,0.04544421370183681
-6.150000244379044,2318,0.21570319240724764,97.67040552200173,0.819672131147541,0,0.12942191544434856,0.6039689387402933,0,0,0.12942191544434856,0.04314063848144953,0.04314063848144953,0,0,0,0,0,0,0,0,0,0,0.2588438308886971,0.08628127696289906,0.09636130459861679,0.3133032815546616,0.18727341870368458,0,0.074673408887807,0.1609292946462891,0,0,0.074673408887807,0.043131331904169096,0.043131331904169096,0,0,0,0,0,0,0,0,0,0,0.10553569940157555,0.06098375021377525
-5.850000232458115,2272,0,96.74295774647888,1.8045774647887325,0,0.13204225352112675,0.48415492957746475,0,0,0.04401408450704226,0,0.13204225352112675,0,0,0,0,0,0,0,0,0,0,0.6161971830985915,0.04401408450704226,0,0.3724064663686355,0.27927317531252743,0,0.07618428302720137,0.14562439470029603,0,0,0.04400439724280981,0,0.07618428302720137,0,0,0,0,0,0,0,0,0,0,0.1641774462740027,0.04400439724280981
-5.550000220537186,2402,0.041631973355537054,97.25228975853454,1.5403830141548709,0,0.12489592006661115,0.5412156536219818,0,0,0.041631973355537054,0,0,0,0,0,0,0,0,0.041631973355537054,0,0,0,0.4163197335553705,0,0.04162330634735413,0.3335407357247358,0.2512794252140089,0,0.07206364859424157,0.14969946437112858,0,0,0.04162330634735413,0,0,0,0,0,0,0,0,0.04162330634735413,0,0,0,0.13137752713350878,0
-5.250000208616257,2540,0.11811023622047244,96.92913385826772,1.6141732283464567,0,0.23622047244094488,0.39370078740157477,0,0,0.07874015748031496,0,0.07874015748031496,0,0,0.03937007874015748,0,0,0,0,0,0,0,0.47244094488188976,0.03937007874015748,0.06815069451627088,0.34232668200092176,0.2500486311940574,0,0.09632263520150959,0.12425380177671534,0,0,0.05565577463523988,0,0.05565577463523988,0,0,0.03936232796171046,0,0,0,0,0,0,0,0.13605940984944034,0.03936232796171046
-4.950000196695328,2516,0.0397456279809221,97.17806041335453,1.4308426073131957,0,0.11923688394276628,0.3179650238473768,0,0,0.11923688394276628,0,0.0397456279809221,0,0.11923688394276628,0,0,0,0,0.0794912559618442,0,0,0,0.47694753577106513,0.0794912559618442,0.03973772862121357,0.33014342383217404,0.236761528817474,0,0.06880039260187255,0.11223874563093535,0,0,0.06880039260187255,0,0.03973772862121357,0,0.06880039260187255,0,0,0,0,0.05618646115121641,0,0,0,0.13735416406220063,0.05618646115121641
-4.650000184774399,2686,0.11169024571854058,96.9843633655994,1.6381236038719285,0,0.18615040953090098,0.5212211466865228,0,0,0.11169024571854058,0,0.03723008190618019,0,0,0,0,0,0,0,0,0,0,0.33507073715562175,0.07446016381236038,0.06444837198179654,0.32997980439190977,0.24492534720960343,0,0.08317147368564261,0.13893870039141487,0,0,0.06444837198179654,0,0.03722315086601845,0,0,0,0,0,0,0,0,0,0,0.1115029680439055,0.052631680992494524
-4.35000017285347,2736,0.07309941520467836,97.69736842105263,1.425438596491228,0,0.03654970760233918,0.3289473684210526,0,0,0.03654970760233918,0,0.10964912280701754,0,0.03654970760233918,0,0,0,0,0,0,0,0,0.21929824561403508,0.03654970760233918,0.05167019652615401,0.28674484201959627,0.22662020974570773,0,0.03654302758627273,0.10946863030142906,0,0,0.03654302758627273,0,0.06327123384003874,0,0.03654302758627273,0,0,0,0,0,0,0,0,0.08942991318157764,0.03654302758627273
-4.050000160932541,2991,0.10030090270812438,97.25844199264459,1.4710799063858242,0,0.2340354396522902,0.3343363423604146,0,0,0,0,0.06686726847208291,0,0,0.033433634236041454,0,0,0,0,0,0,0,0.5015045135406219,0,0.057879704391529244,0.29857549932248123,0.2201363628237019,0,0.08835351051996858,0.10554954572085318,0,0,0,0,0.047266488141622966,0,0,0.033428044729317444,0,0,0,0,0,0,0,0.12916280663374438,0
-3.750000149011612,3139,0.15928639694170119,97.70627588403951,1.1468620579802484,0,0.12742911755336095,0.41414463204842306,0,0,0.15928639694170119,0,0,0,0.03185727938834024,0,0,0,0,0,0,0,0,0.22300095571838166,0.03185727938834024,0.07117828581407547,0.2671998208718414,0.19004443840577884,0,0.06367395038582696,0.11462495797299774,0,0,0.07117828581407547,0,0,0,0.031852204552881784,0,0,0,0,0,0,0,0,0.08419240647426747,0.031852204552881784
-3.450000137090683,3407,0.5576753742295274,96.91810977399471,1.614323451717053,0,0.146756677428823,0.3522160258291752,0,0,0.1761080129145876,0,0.0587026709715292,0,0,0,0,0,0,0,0,0,0,0.146756677428823,0.0293513354857646,0.12758226292364522,0.2960908478947615,0.2159111891725476,0,0.06558340433023736,0.10149679111678939,0,0,0.0718324601844111,0,0.04149687146670732,0,0,0,0,0,0,0,0,0,0,0.06558340433023736,0.029347027665166697
-3.150000125169754,3757,0.18631887143997872,97.71093957945169,1.2509981368112857,0,0.053233963268565346,0.37263774287995743,0,0,0.13308490817141336,0,0,0,0.026616981634282673,0,0,0,0,0,0,0,0,0.21293585307426138,0.053233963268565346,0.07035627881076244,0.24399426879797317,0.18133184950273878,0,0.037632075892990176,0.09940589476441816,0,0,0.05947776277904639,0,0,0,0.02661343907998013,0,0,0,0,0,0,0,0,0.07520399659977232,0.037632075892990176
-2.850000113248825,4108,0.19474196689386564,97.54138266796495,1.2901655306718598,0,0.09737098344693282,0.4381694255111977,0,0,0.09737098344693282,0,0.04868549172346641,0,0,0,0,0,0,0,0,0,0,0.2921129503407984,0,0.06878460845424446,0.24161545228199255,0.17607095169790027,0,0.048661783179706715,0.10305101036152152,0,0,0.048661783179706715,0,0.03441746012776257,0,0,0,0,0,0,0,0,0,0,0.0842024919698033,0
-2.550000101327896,4617,0.15161360190599957,97.92072774528916,1.061295213341997,0,0.0649772579597141,0.36820446177171323,0,0,0.1949317738791423,0,0.021659085986571368,0,0,0.021659085986571368,0,0,0,0,0,0,0,0.15161360190599957,0.043318171973142736,0.05726109791736051,0.20999698439508668,0.15080692193301456,0,0.037502447402395896,0.08913813939645766,0,0,0.06491389640592203,0,0.021656740279520942,0,0,0.021656740279520942,0,0,0,0,0,0,0,0.05726109791736051,0.0306239381300171
-2.250000089406967,5177,0.5601699826154143,96.8707745798725,1.4873478848754105,0,0.07726482518833301,0.46358895112999804,0,0,0.2511106818620823,0.019316206297083253,0.038632412594166506,0,0,0.019316206297083253,0,0,0,0,0,0,0,0.19316206297083252,0.019316206297083253,0.10372919812091583,0.24197791397642288,0.16823378003082798,0,0.038617485077150876,0.09441009716786393,0,0,0.06955807355171785,0.019314340627856214,0.027311963754597938,0,0,0.019314340627856214,0,0,0,0,0,0,0,0.06102418434401755,0.019314340627856214
-1.9500000774860382,6197,0.6131999354526384,97.07923188639664,1.2909472325318703,0,0.048410521219945137,0.5002420526060998,0,0,0.2097789252864289,0,0.08068420203324189,0,0,0,0,0,0.032273680813296755,0,0,0,0,0.14523156365983542,0,0.09916870822353847,0.21390501021408995,0.14339763525595325,0,0.027943061310388227,0.08962111914880877,0,0,0.058121146468374296,0,0.036068512484519866,0,0,0,0,0,0.022817255681324214,0,0,0,0,0.04837535476863732,0
-1.6500000655651093,5175,2.4154589371980677,93.27536231884058,3.130434782608696,0,0.057971014492753624,0.463768115942029,0,0,0.2705314009661836,0.1352657004830918,0.03864734299516908,0,0.01932367149758454,0.01932367149758454,0,0.01932367149758454,0,0,0,0,0,0.1352657004830918,0.01932367149758454,0.21342002398143226,0.3481470665348563,0.24206992096156596,0,0.03345987808841513,0.09444649916031979,0,0,0.07220469140178484,0.0510910397782205,0.027322517062439704,0,0.01932180438598082,0.01932180438598082,0,0.01932180438598082,0,0,0,0,0,0.0510910397782205,0.01932180438598082
-1.3500000536441803,3750,5.573333333333333,84.34666666666666,8.213333333333333,0,0.08,0.48,0,0,0.3466666666666667,0.6133333333333334,0.02666666666666667,0,0.02666666666666667,0,0,0.08,0.05333333333333334,0,0,0,0,0.16,0,0.37461848642368195,0.59336475322551,0.4483672568743585,0,0.04616954263003551,0.11286522936670973,0,0,0.09598123273347263,0.12749604496407518,0.026663110874042464,0,0.026663110874042464,0,0,0.04616954263003551,0.037702303692264,0,0,0,0,0.06526744977398764,0
-1.0500000417232513,2831,10.137760508654186,74.00211939244083,12.892970681737904,0,0.2119392440833628,0.4592016955139526,0,0,0.565171317555634,1.3069586718474038,0,0,0,0,0,0.17661603673613563,0.07064641469445425,0,0,0,0,0.1059696220416814,0.07064641469445425,0.5672698448805831,0.8243679840820162,0.6298442432964824,0,0.08643209646650411,0.12706688003090558,0,0,0.14089299037182498,0.21345398094984236,0,0,0,0,0,0.07891531181672835,0.049936910226958134,0,0,0,0,0.06114916426936323,0.049936910226958134
-0.7500000298023224,2295,19.477124183006538,55.86056644880174,21.917211328976034,0,0.17429193899782133,0.39215686274509803,0,0,0.30501089324618735,1.4814814814814816,0.04357298474945533,0,0,0,0,0.08714596949891067,0.08714596949891067,0,0,0,0,0.130718954248366,0.04357298474945533,0.8266672074266614,1.036512873634945,0.8635330428558994,0,0.08706999217888788,0.13046239079348482,0,0,0.11510733397723345,0.25218294079662623,0.04356349069013152,0,0,0,0,0.06159464980405495,0.06159464980405495,0,0,0,0,0.0754212800880824,0.04356349069013152
-0.45000001788139343,1702,33.54876615746181,35.13513513513514,28.08460634547591,0,0.11750881316098707,0.23501762632197415,0,0,0.6462984723854289,1.8801410105757932,0,0,0,0,0,0.05875440658049354,0.11750881316098707,0,0,0,0,0.05875440658049354,0.11750881316098707,1.144484783703199,1.157166347449403,1.08934469703507,0,0.0830424444973137,0.11737064872383528,0,0,0.19423559162707799,0.32922582233239367,0,0,0,0,0,0.058737143642973715,0.0830424444973137,0,0,0,0,0.058737143642973715,0.0830424444973137
-0.15000000596046448,1640,45.97560975609756,15.670731707317072,36.46341463414634,0,0.12195121951219512,0.1829268292682927,0,0,0.548780487804878,0.7317073170731708,0,0,0.06097560975609756,0,0,0,0,0.06097560975609756,0,0,0,0.06097560975609756,0.12195121951219512,1.2306562504646839,0.8976600130776993,1.1885533471083807,0,0.08617993743693214,0.10551621278141862,0,0,0.18242420537116305,0.21045151244677082,0,0,0.060957016796447105,0,0,0,0,0.060957016796447105,0,0,0,0.060957016796447105,0.08617993743693214
