All days with start 2021-01-01,Fitted curve MK (deg),Fitted curve BA (deg),Days when measured beta,Beta naive min (deg), Beta uncertainty pm (deg)
365.0,80.47860568812986,79.51896106406832,370.0,80.25,0.25
366.0,80.37557309372973,79.3672421079564,385.0,77.5,0.25
367.0,80.26610811781737,79.2093774285876,386.0,77.0,0.25
368.0,80.1502418699464,79.0454118898588,389.0,76.75,0.25
369.0,80.02800727888898,78.87539208948292,392.0,75.75,0.25
370.0,79.89943908327757,78.69936634574638,394.0,75.0,0.25
371.0,79.76457382173234,78.51738468377731,395.0,74.75,0.25
372.0,79.623449822477,78.3294988213288,405.0,71.75,0.25
373.0,79.47610719244611,78.13576215408116,418.0,67.375,0.25
374.0,79.32258780588674,77.93622974046733,423.0,65.375,0.25
375.0,79.16293529245806,77.73095828602558,428.0,63.5,0.25
376.0,78.9971950248319,77.5200061272844,429.0,63.25,0.25
377.0,78.82541410579798,77.30343321518359,436.0,60.5,0.25
378.0,78.6476413548775,77.08130109803673,437.0,60.0,0.25
379.0,78.46392729444884,76.85367290403966,438.0,59.75,0.25
380.0,78.27432413538915,76.62061332332985,441.0,58.625,0.25
381.0,78.07888576223635,76.38218858960215,444.0,57.375,0.25
382.0,77.8776677178753,76.13846646128547,472.0,46.75,0.25
383.0,77.67072718775263,75.88951620228656,477.0,45.0,0.25
384.0,77.45812298362496,75.63540856230563,498.0,39.0,0.25
385.0,77.23991552684471,75.3762157567299,512.0,36.0,0.25
386.0,77.01616683118866,75.1120114461106,520.0,35.0,0.25
387.0,76.78694048523374,74.8428707152291,528.0,34.5,0.25
388.0,76.55230163428553,74.56887005175851,529.0,34.5,0.25
389.0,76.31231696186407,74.29008732452644,530.0,34.25,0.25
390.0,76.06705467075268,74.00660176138531,531.0,34.25,0.25
391.0,75.81658446361506,73.71849392669644,532.0,34.25,0.25
392.0,75.56097752318588,73.42584569843424,536.0,34.25,0.25
393.0,75.30030649204107,73.12874024491717,550.0,34.75,0.25
394.0,75.03464545195291,72.82726200117197,551.0,35.0,0.25
395.0,74.7640699028364,72.52149664493786,553.0,35.25,0.25
396.0,74.48865674129232,72.21153107231761,564.0,36.75,0.25
397.0,74.2084842387536,71.8974533730824,577.0,39.75,0.25
398.0,73.92363201924078,71.57935280563734,581.0,40.75,0.25
399.0,73.63418103673321,71.25731977165493,590.0,43.75,0.25
400.0,73.3402135521622,70.9314457903837,593.0,44.25,0.25
401.0,73.04181311003269,70.60182347263907,594.0,44.5,0.25
402.0,72.73906451468034,70.26854649448414,598.0,46.0,0.25
403.0,72.43205380617032,69.93170957060767,599.0,46.25,0.25
404.0,72.12086823584508,69.59140842740692,624.0,55.25,0.25
405.0,71.80559624152784,69.24773977578295,625.0,56.0,0.25
406.0,71.48632742238885,68.90080128365616,646.0,64.25,0.25
407.0,71.16315251348166,68.55069154820987,673.0,73.25,0.25
408.0,70.8361633599565,68.19751006786967,687.0,77.0,0.25
409.0,70.50545289095827,67.8413572140269,688.0,77.25,0.25
410.0,70.17111509321637,67.48233420251375,708.0,80.5,0.25
411.0,69.83324498433402,67.12054306483863,709.0,80.5,0.25
412.0,69.4919385857846,66.75608661918953,721.0,81.0,0.25
413.0,69.1472928956227,66.389068441214,,,
414.0,68.7994058609176,66.01959283458368,,,
415.0,68.44837634991708,65.64776480135204,,,
416.0,68.09430412394943,65.27369001211366,,,
417.0,67.73728980907161,64.89747477597348,,,
418.0,67.37743486747168,64.51922601033452,,,
419.0,67.01484156863366,64.13905121051286,,,
420.0,66.64961296027285,63.75705841918833,,,
421.0,66.2818528390501,63.373356195699586,,,
422.0,65.9116657210731,62.988053585192425,,,
423.0,65.53915681219335,62.60126008763002,,,
424.0,65.16443197810696,62.21308562667387,,,
425.0,64.78759771426807,61.82364051844441,,,
426.0,64.4087611156232,61.433035440169974,,,
427.0,64.02802984617519,61.041381398733265,,,
428.0,63.64551210838558,60.64878969912402,,,
429.0,63.261316612423784,60.25537191280705,,,
430.0,62.875552545272065,59.861239846014485,,,
431.0,62.48832953969501,59.466505507971334,,,
432.0,62.09975764308228,59.07128107906335,,,
433.0,61.7099472861735,58.675678878956234,,,
434.0,61.319009251674316,58.279811334675294,,,
435.0,60.927054642772255,57.883790948654564,,,
436.0,60.534194851561665,57.48773026676447,,,
437.0,60.14054152738647,57.09174184632724,,,
438.0,59.74620654510981,56.69593822412894,,,
439.0,59.35130197331959,56.30043188443744,,,
440.0,58.95594004247906,55.90533522703527,,,
441.0,58.560233113031224,55.510760535276496,,,
442.0,58.16429364346647,55.11681994417664,,,
443.0,57.76823415836228,54.723625408544834,,,
444.0,57.37216721640409,54.33128867116713,,,
445.0,56.97620537839654,53.93992123105008,,,
446.0,56.58046117527414,53.549634311733584,,,
447.0,56.18504707612032,53.160538829682075,,,
448.0,55.790075456204136,52.7727453627629,,,
449.0,55.395658565043675,52.38636411882097,,,
450.0,55.00190849450506,52.001504904358576,,,
451.0,54.608937146946396,51.61827709332922,,,
452.0,54.21685620341551,51.23678959605443,,,
453.0,53.8257770919106,50.857150828272275,,,
454.0,53.435810955712796,50.47946868032649,,,
455.0,53.04706862179964,50.103850486504896,,,
456.0,52.65966056934843,49.7304029945358,,,
457.0,52.273696898338486,49.359232335251185,,,
458.0,51.88928729826109,48.99044399242514,,,
459.0,51.50654101694612,48.6241427727962,,,
460.0,51.12556682951427,48.26043277628209,,,
461.0,50.746473007463464,47.89941736639538,,,
462.0,50.36936728789855,47.541199140868386,,,
463.0,49.994356842912765,47.18587990249564,,,
464.0,49.621548249129845,46.83356063020244,,,
465.0,49.25104745741528,46.48434145034735,,,
466.0,48.882959762765516,46.138321608267134,,,
467.0,48.51738977438345,45.79559944007195,,,
468.0,48.15444138594889,45.45627234469913,,,
469.0,47.79421774609234,45.120436756232984,,,
470.0,47.43682122908053,44.78818811649918,,,
471.0,47.08235340572202,44.45962084794078,,,
472.0,46.73091501450111,44.134828326784245,,,
473.0,46.382605932948394,43.81390285650256,,,
474.0,46.03752514925583,43.49693564158335,,,
475.0,45.69577073414474,43.184016761609314,,,
476.0,45.357439812994414,42.87523514565825,,,
477.0,45.02262853823941,42.570678547030184,,,
478.0,44.69143206204344,42.270433518308494,,,
479.0,44.363944509257394,41.97458538676245,,,
480.0,44.04025895066944,41.68321823009778,,,
481.0,43.72046737655465,41.3964148525625,,,
482.0,43.40466067053164,41.11425676141461,,,
483.0,43.09292858373382,40.83682414375832,,,
484.0,42.785359709302426,40.56419584375558,,,
485.0,42.482041457208666,40.29644934021913,,,
486.0,42.18306002941211,40.03366072459363,,,
487.0,41.888500395362435,39.77590467933116,,,
488.0,41.5984462678514,39.52325445666695,,,
489.0,41.31298007922191,39.27578185780171,,,
490.0,41.03218295794116,39.03355721249632,,,
491.0,40.756134705544085,38.796649359084654,,,
492.0,40.48491377395415,38.56512562491022,,,
493.0,40.21859724318756,38.33905180719237,,,
494.0,39.95726079944737,38.1184921543271,,,
495.0,39.700978713613765,37.9035093476283,,,
496.0,39.44982382013655,37.69416448351414,,,
497.0,39.20386749633584,37.490517056143986,,,
498.0,38.96317964211688,37.29262494051059,,,
499.0,38.72782866010476,37.10054437599254,,,
500.0,38.49788143620465,36.914329950371375,,,
501.0,38.273403320593005,36.734034584318266,,,
502.0,38.05445810914532,36.559709516354324,,,
503.0,37.84110802530559,36.391404288289024,,,
504.0,37.63341370240259,36.22916673114083,,,
505.0,37.43143416641813,36.07304295154397,,,
506.0,37.235226819212045,35.92307731864531,,,
507.0,37.04484742220886,35.779312451495,,,
508.0,36.8603500805505,35.641789206934476,,,
509.0,36.681787227719894,35.51054666798524,,,
510.0,36.509209610639516,35.385622132741794,,,
511.0,36.34266627524927,35.26705110377183,,,
512.0,36.18220455256791,35.15486727802664,,,
513.0,36.0278700452416,35.04910253726477,,,
514.0,35.879706614583895,34.94978693899142,,,
515.0,35.7377563681105,34.85694870791633,,,
516.0,35.602059647572446,34.77061422793261,,,
517.0,35.47265501749112,34.69080803461857,,,
518.0,35.34957925419836,34.61755280826496,,,
519.0,35.23286733538475,34.55086936742937,,,
520.0,35.12255243015912,34.49077666301979,,,
521.0,35.01866588962194,34.43729177290885,,,
522.0,34.921237237955516,34.39042989708054,,,
523.0,34.83029416403328,34.35020435331036,,,
524.0,34.74586251355074,34.31662657338063,,,
525.0,34.667966281680194,34.289706099831584,,,
526.0,34.5966276062514,34.26945058324948,,,
527.0,34.53186676146012,34.2558657800924,,,
528.0,34.47370215210623,34.24895555105425,,,
529.0,34.4221503083631,34.24872185996764,,,
530.0,34.377225881079895,34.25516477324571,,,
531.0,34.33894163761775,34.26828245986334,,,
532.0,34.307308458221364,34.28807119187744,,,
533.0,34.28233533292689,34.31452534548644,,,
534.0,34.264029359007,34.34763740262851,,,
535.0,34.25239573895382,34.38739795311817,,,
536.0,34.24743777900047,34.43379569732052,,,
537.0,34.249156888181375,34.486817449362604,,,
538.0,34.25755257793189,34.54644814088065,,,
539.0,34.27262246222706,34.6126708253024,,,
540.0,34.29436225825984,34.68546668266323,,,
541.0,34.32276578765814,34.76481502495459,,,
542.0,34.357824978240764,34.85069330200339,,,
543.0,34.399529866311454,34.943077107880576,,,
544.0,34.447868599490576,35.04194018783712,,,
545.0,34.5028274400835,35.14725444576539,,,
546.0,34.56439076898481,35.25898995218387,,,
547.0,34.63254109011717,35.37711495274283,,,
548.0,34.70725903540371,35.50159587724874,,,
549.0,34.7885233702723,35.632397349204574,,,
550.0,34.87631099969039,35.7694821958636,,,
551.0,34.97059697472848,35.91281145879352,,,
552.0,35.071354499650575,36.062344404948206,,,
553.0,35.178554939529384,36.218038538243654,,,
554.0,35.29216782838431,36.3798496116351,,,
555.0,35.41216087783974,36.54773163969162,,,
556.0,35.53849998630129,36.72163691166487,,,
557.0,35.67114924864739,36.90151600504808,,,
558.0,35.81007096643333,37.08731779962155,,,
559.0,35.95522565860508,37.2789894919806,,,
560.0,36.10657207271963,37.47647661054192,,,
561.0,36.2640671966688,37.67972303102391,,,
562.0,36.42766627090312,37.88867099239681,,,
563.0,36.59732280115234,38.10326111329788,,,
564.0,36.77298857163893,38.323432408907166,,,
565.0,36.95461365878083,38.549122308278854,,,
566.0,37.14214644537958,38.780266672123474,,,
567.0,37.33553363528968,39.01679981103577,,,
568.0,37.534720268565216,39.25865450416311,,,
569.0,37.73964973707929,39.505762018309134,,,
570.0,37.95026380061178,39.75805212746717,,,
571.0,38.166502603401085,40.015453132777886,,,
572.0,38.38830469115486,40.277891882905635,,,
573.0,38.6156070285151,40.54529379482736,,,
574.0,38.84834501697263,40.817582875028606,,,
575.0,39.08645251322569,41.0946817411002,,,
576.0,39.32986184797767,41.37651164372981,,,
577.0,39.578503845168456,41.66299248908179,,,
578.0,39.832307841634076,41.954042861559245,,,
579.0,40.09120170718883,42.249580046941716,,,
580.0,40.355111865124485,42.549520055891925,,,
581.0,40.62396331312051,42.85377764782485,,,
582.0,40.89767964455946,43.16226635513242,,,
583.0,41.176183070241436,43.47489850775694,,,
584.0,41.45939444049156,43.791585258106245,,,
585.0,41.74723326765396,44.11223660630351,,,
586.0,42.03961774896611,44.436761425764416,,,
587.0,42.336464789806875,44.765067489094676,,,
588.0,42.637690027311706,45.0970614943003,,,
589.0,42.94320785434827,45.432649091303354,,,
590.0,43.252931443845675,45.77173490875541,,,
591.0,43.566772773470404,46.11422258114139,,,
592.0,43.88464265064199,46.46001477616586,,,
593.0,44.206450737881156,46.809013222414166,,,
594.0,44.53210557848351,47.161118737280276,,,
595.0,44.861514622511095,47.5162312551538,,,
596.0,45.19458425309482,47.87424985585777,,,
597.0,45.53121981304001,48.235072793329465,,,
598.0,45.871325631727665,48.59859752453572,,,
599.0,46.214805052303724,48.9647207386149,,,
600.0,46.56156045914851,49.333338386237045,,,
601.0,46.91149330561882,49.70434570917385,,,
602.0,47.264504142054506,50.07763727007011,,,
603.0,47.62049264404169,50.45310698240828,,,
604.0,47.97935764092469,50.83064814065727,,,
605.0,48.340997144558195,51.21015345059743,,,
606.0,48.70530837829208,51.591515059812686,,,
607.0,49.07218780618008,51.974624588341385,,,
608.0,49.4415311624044,52.359373159476945,,,
609.0,49.81323348090762,52.74565143070981,,,
610.0,50.18718912522369,53.133349624801724,,,
611.0,50.56329181849946,53.52235756098358,,,
612.0,50.94143467369813,53.912564686267864,,,
613.0,51.32151022397628,54.30386010686698,,,
614.0,51.7034104532254,54.696132619708386,,,
615.0,52.087026826769794,55.08927074403767,,,
616.0,52.47225032221169,55.483162753100416,,,
617.0,52.858971460415034,55.877696705894124,,,
618.0,53.24708033661913,56.272760478980935,,,
619.0,53.63646665167304,56.66824179835229,,,
620.0,54.027019743382326,57.064028271336234,,,
621.0,54.4186286179588,57.46000741853855,,,
622.0,54.81118198156455,57.85606670580853,,,
623.0,55.20456827194133,58.25209357622034,,,
624.0,55.59867569011603,58.6479754820607,,,
625.0,55.99339223217362,59.04359991681415,,,
626.0,56.38860572108827,59.43885444713646,,,
627.0,56.784203838603574,59.83362674480736,,,
628.0,57.180074157153165,60.22780461865327,,,
629.0,57.57610417181202,60.62127604643118,,,
630.0,57.97218133227009,61.013929206664436,,,
631.0,58.36819307481866,61.40565251042166,,,
632.0,58.76402685434054,61.79633463302929,,,
633.0,59.15957017629503,62.18586454570923,,,
634.0,59.554710628688376,62.57413154713235,,,
635.0,59.94933591402095,62.96102529487902,,,
636.0,60.3433338812017,63.34643583679739,,,
637.0,60.73659255742124,63.73025364225103,,,
638.0,61.129000179973936,64.11236963324663,,,
639.0,61.52044522802059,64.49267521543322,,,
640.0,61.91081645428223,64.87106230896363,,,
641.0,62.30000291665613,65.24742337921008,,,
642.0,62.68789400974533,65.62165146732461,,,
643.0,63.07437949629207,65.99364022063601,,,
644.0,63.45934953850696,66.36328392287432,,,
645.0,63.84269472928447,66.73047752421458,,,
646.0,64.22430612329599,67.09511667113121,,,
647.0,64.60407526795177,67.45709773605445,,,
648.0,64.98189423422272,67.81631784682045,,,
649.0,65.35765564731342,68.17267491590677,,,
650.0,65.73125271717772,68.52606766944479,,,
651.0,66.102579268868,68.8763956760011,,,
652.0,66.47152977270986,69.2235593751191,,,
653.0,66.83799937429308,69.56746010561346,,,
654.0,67.20188392427102,69.90800013360877,,,
655.0,67.5630800079594,70.24508268031482,,,
656.0,67.92148497472647,70.57861194953027,,,
657.0,68.27699696716586,70.90849315486722,,,
658.0,68.62951495004415,71.23463254668874,,,
659.0,68.9789387390147,71.55693743875187,,,
660.0,69.32516902908965,71.87531623454817,,,
661.0,69.6681074228621,72.18967845333476,,,
662.0,70.00765645847031,72.49993475584836,,,
663.0,70.34371963729592,72.80599696969468,,,
664.0,70.67620145138858,73.10777811440632,,,
665.0,71.00500741060898,73.40519242616199,,,
666.0,71.33004406948257,73.69815538215987,,,
667.0,71.65121905375645,73.9865837246384,,,
668.0,71.96844108665175,74.27039548453735,,,
669.0,72.28162001480428,74.54951000479286,,,
670.0,72.59066683388563,74.82384796325955,,,
671.0,72.89549371389809,75.09333139525324,,,
672.0,73.19601402413538,75.35788371570787,,,
673.0,73.49214235780299,75.6174297409404,,,
674.0,73.78379455629036,75.87189571001736,,,
675.0,74.07088773308848,76.12120930571726,,,
676.0,74.35334029734604,76.36529967508241,,,
677.0,74.63107197705709,76.60409744955493,,,
678.0,74.90400384187417,76.83753476469059,,,
679.0,75.17205832554001,77.06554527944547,,,
680.0,75.43515924793154,77.2880641950295,,,
681.0,75.69323183671008,77.50502827332183,,,
682.0,75.94620274857134,77.71637585484248,,,
683.0,76.19400009008925,77.92204687627563,,,
684.0,76.43655343814795,78.12198288753902,,,
685.0,76.67379385995567,78.31612706839509,,,
686.0,76.90565393263526,78.50442424459877,,,
687.0,77.1320677623855,78.6868209035776,,,
688.0,77.35297100320784,78.86326520963962,,,
689.0,77.56830087519339,79.03370701870459,,,
690.0,77.77799618236466,79.19809789255457,,,
691.0,77.98199733006732,79.35639111259971,,,
692.0,78.1802463419067,79.50854169315528,,,
693.0,78.37268687622452,79.65450639422625,,,
694.0,78.55926424211101,79.7942437337957,,,
695.0,78.73992541494785,79.92771399961381,,,
696.0,78.91461905147752,80.05487926048369,,,
697.0,79.08329550439495,80.17570337704106,,,
698.0,79.2459068364571,80.2901520120249,,,
699.0,79.40240683410646,80.39819264003579,,,
700.0,79.55275102060492,80.49979455677929,,,
701.0,79.69689666867379,80.59492888779198,,,
702.0,79.83480281263678,80.68356859664726,,,
703.0,79.96643026006227,80.76568849263896,,,
704.0,80.09174160290172,80.84126523794028,,,
705.0,80.21070122812084,80.91027735423624,,,
706.0,80.32327532782074,80.97270522882768,,,
707.0,80.42943190884591,81.02853112020497,,,
708.0,80.52914080187675,81.07773916309007,,,
709.0,80.62237367000336,81.12031537294527,,,
710.0,80.70910401677895,81.1562476499475,,,
711.0,80.78930719374999,81.18552578242705,,,
712.0,80.86296040746116,81.20814144976956,,,
713.0,80.93004272593325,81.22408822478073,,,
714.0,80.99053508461188,81.23336157551287,,,
715.0,81.04442029178567,81.23595886655283,,,
716.0,81.09168303347192,81.231879359771,,,
717.0,81.13230987776896,81.22112421453102,,,
718.0,81.1662892786733,81.20369648736035,,,
719.0,81.19361157936106,81.1796011310816,,,
720.0,81.21426901493236,81.14884499340499,,,
721.0,81.22825571461807,81.1114368149823,,,
722.0,81.23556770344831,81.0673872269228,,,
723.0,81.23620290338206,81.01670874777203,,,
724.0,81.23016113389781,80.95941577995406,,,
725.0,81.21744411204475,80.8955246056785,,,
726.0,81.1980554519549,80.82505338231323,,,
727.0,81.17200066381592,80.7480221372241,,,
728.0,81.13928715230519,80.66445276208347,,,
