All days with start 2021-01-01,theoretical curve (leap day corrected) (deg),fitted curve (deg),Days when measured alpha,alpha naive min (deg),uncertainty_pm (deg)
0.0,80.77263222183005,79.9498444287338,57.0,66.5,1.5
1.0,80.70019584002738,79.87201884576368,58.0,66.0,1.5
2.0,80.62094699763377,79.7874766104587,63.0,64.5,1.5
3.0,80.53490914565668,79.69624281492108,68.0,62.0,1.5
4.0,80.44210774408076,79.59834453730541,79.0,58.0,1.5
5.0,80.34257025433374,79.49381083378199,241.0,50.0,1.5
6.0,80.23632613116023,79.38267272991291,267.0,59.5,1.5
7.0,80.12340681390559,79.26496321144367,284.0,65.0,1.5
8.0,80.00384571721251,79.14071721451305,289.0,67.0,1.5
9.0,79.87767822113304,79.00997161528403,295.0,69.0,1.5
10.0,79.74494166065911,78.87276521899906,326.0,77.5,1.5
11.0,79.60567531467449,78.72913874846259,338.0,80.0,1.5
12.0,79.45992039433153,78.57913483195455,370.0,80.25,0.5
13.0,79.30772003085615,78.42279799057835,385.0,77.5,0.5
14.0,79.14911926278455,78.260174625047,386.0,77.0,0.5
15.0,78.98416502263566,78.09131300191143,389.0,76.75,0.5
16.0,78.812906123023,77.91626323923496,392.0,75.75,0.5
17.0,78.63539324221023,77.73507729171828,394.0,75.0,0.5
18.0,78.45167890911472,77.54780893527935,395.0,74.75,0.5
19.0,78.2618174877633,77.35451375109267,405.0,71.75,0.5
20.0,78.06586516120512,77.15524910909286,418.0,67.375,0.5
21.0,77.86387991488618,76.9500741509473,423.0,65.375,0.5
22.0,77.6559215194905,76.73904977250284,428.0,63.5,0.5
23.0,77.442051513253,76.52223860571198,429.0,63.25,0.5
24.0,77.22233318374938,76.29970500004374,436.0,60.5,0.5
25.0,76.99683154916826,76.07151500338473,437.0,60.0,0.5
26.0,76.76561333907128,75.83773634243622,438.0,59.75,0.5
27.0,76.52874697464674,75.59843840261276,441.0,58.625,0.5
28.0,76.28630254846271,75.35369220744879,444.0,57.375,0.5
29.0,76.03835180372545,75.10357039751874,472.0,46.75,0.5
30.0,75.78496811304944,74.84814720887739,477.0,45.0,0.5
31.0,75.52622645674535,74.58749845102668,498.0,39.0,0.5
32.0,75.262203400632,74.32170148441536,512.0,36.0,0.5
33.0,74.99297707337942,74.05083519747858,520.0,35.0,0.5
34.0,74.71862714338931,73.77497998322373,528.0,34.5,0.5
35.0,74.43923479521978,73.4942177153699,529.0,34.5,0.5
36.0,74.15488270556165,73.20863172404773,530.0,34.25,0.5
37.0,73.86565501877305,72.9183067710671,531.0,34.25,0.5
38.0,73.57163732197974,72.62332902475983,532.0,34.25,0.5
39.0,73.27291661974846,72.32378603440499,536.0,34.25,0.5
40.0,72.96958130834096,72.01976670424428,550.0,34.75,0.5
41.0,72.6617211495561,71.71136126709528,551.0,35.0,0.5
42.0,72.34942724416784,71.39866125757042,553.0,35.25,0.5
43.0,72.03279200496712,71.08175948490953,564.0,36.75,0.5
44.0,71.71190912941539,70.76075000543402,577.0,39.75,0.5
45.0,71.38687357191803,70.43572809463114,581.0,40.75,0.5
46.0,71.05778151572582,70.10679021887618,590.0,43.75,0.5
47.0,70.72473034447279,69.77403400680123,593.0,44.25,0.5
48.0,70.38781861335876,69.43755822031913,594.0,44.5,0.5
49.0,70.04714601998538,69.09746272531095,598.0,46.0,0.5
50.0,69.7028133748539,68.75384846198581,599.0,46.25,0.5
51.0,69.35492257153383,68.40681741492189,624.0,55.25,0.5
52.0,69.00357655651086,68.05647258279744,625.0,56.0,0.5
53.0,68.64887929872349,67.70291794782081,646.0,64.25,0.5
54.0,68.29093575879678,67.34625844486857,673.0,73.25,0.5
55.0,67.929851857983,66.98659993034089,687.0,77.0,0.5
56.0,67.56573444681763,66.62404915074339,688.0,77.25,0.5
57.0,67.19869127350077,66.25871371100484,708.0,80.5,0.5
58.0,66.82883095201254,65.89070204254003,,,
59.0,66.45626292997254,65.52012337106736,,,
60.0,66.08109745625255,65.14708768419078,,,
61.0,65.70344554835206,64.77170569875537,,,
62.0,65.32341895954649,64.39408882798675,,,
63.0,64.94113014581745,64.01434914842362,,,
64.0,64.5566922325754,63.632599366653466,,,
65.0,64.17021898118388,63.24895278586134,,,
66.0,63.7818247552957,62.86352327220152,,,
67.0,63.39162448701099,62.47642522100201,,,
68.0,62.99973364286685,62.08777352281212,,,
69.0,62.60626818966898,61.697683529303,,,
70.0,62.21134456017523,61.30627101903125,,,
71.0,61.81507961864127,60.91365216307593,,,
72.0,61.417590626238606,60.51994349055906,,,
73.0,61.01899520635505,60.12526185405974,,,
74.0,60.61941130978815,59.729724394932404,,,
75.0,60.21895717984158,59.33344850853935,,,
76.0,59.81775131733507,58.936551809407746,,,
77.0,59.41591244553814,58.53915209632175,,,
78.0,59.013559475037894,58.141367317359894,,,
79.0,58.610811468551546,57.743315534888076,,,
80.0,58.20778760569383,57.34511489051874,,,
81.0,57.80460714770977,56.94688357004647,,,
82.0,57.40138940218345,56.54873976837054,,,
83.0,56.998253687732905,56.15080165441465,,,
84.0,56.59531929870188,55.753187336054474,,,
85.0,56.19270546985868,55.35601482506329,,,
86.0,55.7905313411127,54.95940200208611,,,
87.0,55.38891592225898,54.563466581652754,,,
88.0,54.987978057761346,54.16832607724027,,,
89.0,54.587836391584354,53.77409776639491,,,
90.0,54.1886093320847,53.380898655924234,,,
91.0,53.79041501697224,52.988845447169574,,,
92.0,53.39337127835114,52.59805450136903,,,
93.0,52.99759560785147,52.20864180512159,,,
94.0,52.603205121861556,51.82072293596231,,,
95.0,52.21031652687133,51.43441302805894,,,
96.0,51.819046084937035,51.04982673804018,,,
97.0,51.429509579277365,50.66707821096562,,,
98.0,51.04182228001138,50.28628104644751,,,
99.0,50.65609891004822,49.90754826493448,,,
100.0,50.27245361113876,49.530992274167104,,,
101.0,49.890999910099204,49.15672483581529,,,
102.0,49.511850685216686,48.7848570323075,,,
103.0,49.13511813284678,48.415499233861546,,,
104.0,48.760913734212764,48.04876106572669,,,
105.0,48.38934822241656,47.68475137564695,,,
106.0,48.02053154967105,47.32357820155516,,,
107.0,47.654572854763366,46.965348739507306,,,
108.0,47.29158043075905,46.61016931186678,,,
109.0,46.93166169295635,46.258145335748,,,
110.0,46.57492314710031,45.90938129172858,,,
111.0,46.22147035786601,45.56398069283958,,,
112.0,45.87140791762033,45.22204605384288,,,
113.0,45.524839415471284,44.88367886080482,,,
114.0,45.1818674066144,44.54897954097517,,,
115.0,44.84259338198498,44.2180474329804,,,
116.0,44.50711773822534,43.890980757339975,,,
117.0,44.17553974797571,43.567876587314544,,,
118.0,43.84795753049802,43.24883082009466,,,
119.0,43.5244680226407,42.93393814833855,,,
120.0,43.205166950153554,42.62329203206729,,,
121.0,42.89014879936101,42.31698467092598,,,
122.0,42.57950678920203,42.01510697681893,,,
123.0,42.273332843645186,41.71774854692697,,,
124.0,41.971717564486816,41.42499763711512,,,
125.0,41.67475020454056,41.136941135738255,,,
126.0,41.38251864122596,40.85366453785265,,,
127.0,41.09510935056416,40.575251919841115,,,
128.0,40.812607381588236,40.30178591445916,,,
129.0,40.535096331175836,40.033347686309604,,,
130.0,40.262658319311484,39.77001690775295,,,
131.0,39.99537396478601,39.51187173526068,,,
132.0,39.7333223613401,39.258988786218445,,,
133.0,39.476581054259235,39.01144311618603,,,
134.0,39.225226017426735,38.76930819662091,,,
135.0,38.979331630841926,38.53265589307199,,,
136.0,38.73897065860983,38.30155644384982,,,
137.0,38.50421422740921,38.07607843918005,,,
138.0,38.275131805444886,37.856288800845746,,,
139.0,38.051791181891126,37.6422527623251,,,
140.0,37.83425844683163,37.434033849430165,,,
141.0,37.622597971702476,37.23169386145236,,,
142.0,37.41687239024354,37.035292852820504,,,
143.0,37.217142579964175,36.844889115276715,,,
144.0,37.0234676441286,36.6605391605754,,,
145.0,36.83590489426626,36.48229770371056,,,
146.0,36.65450983321241,36.3102176466765,,,
147.0,36.479336138684005,36.14435006276644,,,
148.0,36.31043564739552,35.98474418141404,,,
149.0,36.14785833971969,35.83144737358209,,,
150.0,35.99165232489745,35.68450513770286,,,
151.0,35.84186382680171,35.54396108617413,,,
152.0,35.69853717025893,35.409856932415124,,,
153.0,35.56171476793267,35.282232478485916,,,
154.0,35.43143710777305,35.16112560327422,,,
155.0,35.307742741035675,35.04657225125297,,,
156.0,35.1906682708737,34.93860642181197,,,
157.0,35.08024834150642,34.83726015916692,,,
158.0,34.976515627967395,34.742563542848714,,,
159.0,34.879500826435475,34.65454467877582,,,
160.0,34.78923264515125,34.57322969091246,,,
161.0,34.705737795921834,34.49864271351505,,,
162.0,34.62904098621642,34.43080588396915,,,
163.0,34.55916491185492,34.36973933621906,,,
164.0,34.496130250291955,34.31546119479215,,,
165.0,34.439955654498,34.26798756941943,,,
166.0,34.39065774743972,34.22733255025423,,,
167.0,34.34825111716093,34.19350820369026,,,
168.0,34.312748312465786,34.16652456878026,,,
169.0,34.2841598392054,34.14638965425647,,,
170.0,34.262494157168945,34.13310943615359,,,
171.0,34.247757677580296,34.126687856035126,,,
172.0,34.23995476120085,34.127126819823545,,,
173.0,34.23908771703911,34.134426197234546,,,
174.0,34.24515680166739,34.1485838218158,,,
175.0,34.25816021914591,34.169595491589895,,,
176.0,34.27809412155422,34.19745497030152,,,
177.0,34.3049526101299,34.23215398926833,,,
178.0,34.33872773701408,34.27368224983517,,,
179.0,34.379409507603306,34.32202742643063,,,
180.0,34.42698588350716,34.377175170225314,,,
181.0,34.48144278611059,34.43910911339056,,,
182.0,34.54276410073997,34.5078108739564,,,
183.0,34.610931681431765,34.583260061267325,,,
184.0,34.685925356302114,34.66543428203423,,,
185.0,34.7677229335161,34.75430914698071,,,
186.0,34.856300207854616,34.84985827808181,,,
187.0,34.951630967877136,34.95205331639302,,,
188.0,35.053687003678036,35.060863930467164,,,
189.0,35.16243811523439,35.17625782535679,,,
190.0,35.277852121342654,35.29820075219929,,,
191.0,35.39989486914159,35.426656518381954,,,
192.0,35.52853024421866,35.5615869982839,,,
193.0,35.66372018129681,35.70295214459179,,,
194.0,35.80542467549867,35.85071000018581,,,
195.0,35.95360179418461,36.004816710592536,,,
196.0,36.10820768936125,36.16522653700096,,,
197.0,36.26919661065686,36.3318918698377,,,
198.0,36.43652091885956,36.504763242897525,,,
199.0,36.610131100014556,36.68378934802493,,,
200.0,36.78997578007612,36.86891705034235,,,
201.0,36.976001740110014,37.06009140402055,,,
202.0,37.16815393204179,37.257255668586566,,,
203.0,37.36637549494642,37.46035132576425,,,
204.0,37.570607771874364,37.669318096842446,,,
205.0,37.78079032720909,37.88409396056569,,,
206.0,37.996860964550976,38.104615171542136,,,
207.0,38.21875574512218,38.330816279163116,,,
208.0,38.4464090066872,38.56263014702887,,,
209.0,38.679753382983336,38.79998797287462,,,
210.0,38.9187198236555,39.04281930899102,,,
211.0,39.163237614689294,39.29105208313304,,,
212.0,39.41323439933643,39.54461261991098,,,
213.0,39.668636199526276,39.80342566265726,,,
214.0,39.92936743775715,40.06741439576261,,,
215.0,40.19535095946088,40.33650046747492,,,
216.0,40.466508055834126,40.61060401315393,,,
217.0,40.74275848712959,40.889643678975126,,,
218.0,41.024020506400205,41.173536646075476,,,
219.0,41.31021088368939,41.46219865513401,,,
220.0,41.601244930660165,41.75554403138001,,,
221.0,41.897036525655714,42.053485710021214,,,
222.0,42.19749813918426,42.355935262084586,,,
223.0,42.5025408598204,42.66280292066209,,,
224.0,42.812074420515444,42.97399760755335,,,
225.0,43.12600722530884,43.28942696029772,,,
226.0,43.44424637643298,43.60899735958742,,,
227.0,43.76669770180307,43.93261395705362,,,
228.0,44.09326578288416,44.26018070341755,,,
229.0,44.42385398292713,44.591600376997725,,,
230.0,44.758364475564896,44.926774612565396,,,
231.0,45.09669827376095,45.26560393053933,,,
232.0,45.438755259101136,45.60798776651123,,,
233.0,45.784434211420304,45.95382450109327,,,
234.0,46.13363283875505,46.30301149007867,,,
235.0,46.48624780761345,46.65544509490649,,,
236.0,46.84217477355324,47.01102071342146,,,
237.0,47.20130841205884,47.36963281091985,,,
238.0,47.56354244970871,47.731174951472255,,,
239.0,47.92876969562336,48.095539829513555,,,
240.0,48.29688207318476,48.46261930169128,,,
241.0,48.667770652018035,48.83230441896252,,,
242.0,49.041325680225654,49.204485458929895,,,
243.0,49.417436616864904,49.579051958407135,,,
244.0,49.79599216465856,49.95589274620458,,,
245.0,50.17688030292963,50.33489597612465,,,
246.0,50.55998832075016,50.71594916015778,,,
247.0,50.945202850294024,51.09893920186889,,,
248.0,51.33240990038441,51.48375242996424,,,
249.0,51.72149489022567,51.870274632029115,,,
250.0,52.11234268330951,52.25839108842602,,,
251.0,52.504837621485834,52.64798660634337,,,
252.0,52.898863559187795,53.038945553984696,,,
253.0,53.29430389780116,53.43115189488817,,,
254.0,53.6910416201677,53.82448922236609,,,
255.0,54.08895932521247,54.21884079405437,,,
256.0,54.48793926268469,54.614089566561724,,,
257.0,54.887863368001874,55.01011823020793,,,
258.0,55.288613297187084,55.406809243841394,,,
259.0,55.690070461888865,55.804044869725374,,,
260.0,56.092116064473316,56.201707208482354,,,
261.0,56.49463113317838,56.5996782340866,,,
262.0,56.897496557319364,56.997839828894335,,,
263.0,57.30059312253579,57.39607381870081,,,
264.0,57.703801546068796,57.794262007814524,,,
265.0,58.10700251205885,58.1922862141376,,,
266.0,58.51007670685327,58.59002830424219,,,
267.0,58.912904854312956,58.98737022843239,,,
268.0,59.31536775110818,59.38419405578145,,,
269.0,59.717346301992805,59.780382009133504,,,
270.0,60.11872155504638,60.17581650005984,,,
271.0,60.519374736874056,60.570380163759154,,,
272.0,60.91918728775342,60.96395589389125,,,
273.0,61.3180408967183,61.35642687733424,,,
274.0,61.71581753656887,61.74767662885469,,,
275.0,62.112399498797764,62.13758902568023,,,
276.0,62.507669428422005,62.526048341964845,,,
277.0,62.901510358710105,62.91293928313634,,,
278.0,63.293805745794536,63.298147020115536,,,
279.0,63.684439503158806,63.68155722339763,,,
280.0,64.07329603598942,64.06305609698516,,,
281.0,64.46026027538223,64.44253041216251,,,
282.0,64.84521771239312,64.81986754110218,,,
283.0,65.22805443192311,65.1949554902928,,,
284.0,65.60865714642769,65.56768293377858,,,
285.0,65.98691322944026,65.93793924620091,,,
286.0,66.36271074890034,66.30561453563196,,,
287.0,66.73593850027589,66.67059967619045,,,
288.0,67.10648603947068,67.03278634043022,,,
289.0,67.47424371550628,67.39206703149185,,,
290.0,67.8391027029697,67.74833511500754,,,
291.0,68.20095503421655,68.10148485075025,,,
292.0,68.55969363132036,68.45141142401738,,,
293.0,68.91521233775867,68.79801097673963,,,
294.0,69.26740594982657,69.14118063830607,,,
295.0,69.61617024776795,69.4808185560962,,,
296.0,69.96140202661597,69.8168239257096,,,
297.0,70.30299912673303,70.14909702088472,,,
298.0,70.64086046404144,70.47753922309771,,,
299.0,70.97488605993583,70.80205305083211,,,
300.0,71.30497707086839,71.12254218851149,,,
301.0,71.63103581759837,71.43891151508592,,,
302.0,71.95296581409683,71.7510671322637,,,
303.0,72.2706717960984,72.05891639238044,,,
304.0,72.58405974929167,72.36236792589686,,,
305.0,72.89303693713933,72.6613316685172,,,
306.0,73.19751192832055,72.95571888792026,,,
307.0,73.49739462378687,73.24544221009512,,,
308.0,73.7925962834241,73.53041564527373,,,
309.0,74.08302955231179,73.81055461345264,,,
310.0,74.36860848657304,74.0857759694963,,,
311.0,74.64924857880672,74.35599802781454,,,
312.0,74.92486678309442,74.62114058660669,,,
313.0,75.19538153957527,74.88112495166565,,,
314.0,75.46071279858066,75.13587395973417,,,
315.0,75.72078204432223,75.3853120014068,,,
316.0,75.9755123181261,75.62936504357097,,,
317.0,76.22482824120604,75.86796065137976,,,
318.0,76.46865603696928,76.10102800975059,,,
319.0,76.70692355284825,76.32849794438324,,,
320.0,76.93956028165162,76.55030294229056,,,
321.0,77.16649738242864,76.76637717183645,,,
322.0,77.38766770084005,76.97665650227458,,,
323.0,77.60300578903038,77.18107852278237,,,
324.0,77.81244792499487,77.3795825609846,,,
325.0,78.01593213143587,77.5721097009608,,,
326.0,78.21339819410301,77.75860280073155,,,
327.0,78.40478767961133,77.93900650921822,,,
328.0,78.590043952733,78.1132672826711,,,
329.0,78.76911219315625,78.28133340056118,,,
330.0,78.94193941170784,78.44315498093079,,,
331.0,79.10847446603324,78.59868399519853,,,
332.0,79.26866807573066,78.74787428241414,,,
333.0,79.42247283693365,78.8906815629591,,,
334.0,79.56984323633893,79.02706345168869,,,
335.0,79.71073566467433,79.15697947051201,,,
336.0,79.84510842960358,79.28039106040578,,,
337.0,79.97292176806369,79.39726159285864,,,
338.0,80.09413785803146,79.50755638074256,,,
339.0,80.20872082971573,79.61124268860789,,,
340.0,80.31663677617169,79.70828974239924,,,
341.0,80.41785376333459,79.79866873858921,,,
342.0,80.51234183946951,79.8823528527273,,,
343.0,80.60007304403456,79.95931724740134,,,
344.0,80.68102141595483,80.02953907960928,,,
345.0,80.75516300130474,80.09299750753895,,,
346.0,80.82247586039637,80.1496736967539,,,
347.0,80.88294007427174,80.19955082578346,,,
348.0,80.93653775059721,80.24261409111536,,,
349.0,80.98325302895805,80.2788507115894,,,
