Reference material Strain (%),Reference material calculated tensile stress (MPa)
0.00009068288,0.00918192148760331
0.0003516348,0.380837396694215
0.008544149,5.7943305785124
0.01618966,10.9806446280992
0.02438091,16.4804710743802
0.03253453,22.028979338843
0.04098549,27.6713595041322
0.04937623,33.2516652892562
0.05730402,38.5024214876033
0.06564332,44.0746694214876
0.07451958,49.9254132231405
0.08270582,55.2482231404959
0.09129855,60.8257851239669
0.1000117,66.6271074380165
0.1090724,72.634173553719
0.1171846,77.9186363636364
0.125539,83.3529752066116
0.1341744,88.9539256198347
0.1430205,94.7092561983471
0.1520787,100.585826446281
0.1612234,106.541239669421
0.1704874,112.637024793388
0.1784854,117.83305785124
0.1867871,123.124628099174
0.1952456,128.498719008264
0.2037819,133.925537190083
0.2124298,139.424876033058
0.2211442,145.012975206612
0.2300029,150.694214876033
0.2389946,156.446570247934
0.2479813,162.227603305785
0.2570269,168.07326446281
0.2662683,174.02826446281
0.2757204,180.069504132231
0.2852678,186.173636363636
0.2949596,192.330165289256
0.3048973,198.556446280992
0.3150005,204.847148760331
0.3251502,211.158760330579
0.3353714,217.475661157025
0.345851,223.844256198347
0.3566142,230.269504132231
0.3676998,236.702438016529
0.3791016,243.101363636364
0.3909462,249.458801652893
0.4033567,255.769297520661
0.4161724,261.964049586777
0.4293369,267.971074380165
0.4431336,273.794132231405
0.4577146,279.395867768595
0.4727935,284.666280991736
0.4915949,290.441404958678
0.5147874,296.376487603306
0.543332,301.840165289256
0.5859142,307.191694214876
0.6613304,312.400909090909
0.7608826,317.572561983471
0.8557389,322.80173553719
0.9591766,328.057314049587
1.075583,333.228347107438
1.211364,338.46152892562
1.331759,342.66979338843
1.437993,346.156115702479
1.535101,349.15652892562
1.627317,351.86479338843
1.716336,354.351611570248
1.804094,356.705950413223
1.891117,358.956487603306
1.980883,361.179008264463
2.072348,363.318140495868
2.164977,365.443801652893
2.258633,367.498223140496
2.35437,369.590041322314
2.450904,371.596611570248
2.548558,373.580041322314
2.646568,375.524380165289
2.745789,377.440785123967
2.84481,379.382603305785
2.944514,381.253512396694
3.045095,383.106280991736
3.145093,384.926570247934
3.24496,386.708429752066
3.345223,388.485082644628
3.445976,390.171776859504
3.545688,391.879834710744
3.646123,393.557851239669
3.747304,395.160454545455
3.847606,396.792727272727
3.947316,398.408388429752
4.047638,399.982148760331
4.147259,401.544876033058
4.247238,403.090289256198
4.347587,404.613305785124
4.447409,406.115495867769
4.546889,407.568884297521
4.647358,409.028760330579
4.747558,410.431983471074
4.847395,411.836694214876
4.946659,413.256198347107
5.047411,414.642975206612
5.147788,416.027272727273
5.248595,417.384297520661
5.348371,418.719008264463
5.448148,420.054545454545
5.548482,421.330991735537
5.648744,422.605371900826
5.748817,423.859504132231
5.848526,425.11694214876
5.9482,426.38347107438
6.0483,427.623966942149
6.147319,428.82520661157
6.246347,430.057024793388
6.346578,431.229338842975
6.446529,432.372314049587
6.546077,433.517768595041
6.645971,434.673140495868
6.746286,435.82520661157
6.847278,436.964049586777
6.947591,438.05826446281
7.048527,439.113223140496
7.149393,440.228099173554
7.249946,441.249173553719
7.350723,442.332231404959
7.450674,443.357024793388
7.551654,444.415289256198
7.652268,445.415702479339
7.752032,446.366115702479
7.851546,447.376033057851
7.951488,448.302479338843
8.051279,449.288429752066
8.151168,450.221074380165
8.251389,451.148347107438
8.35131,452.078099173554
8.450962,452.927272727273
8.55095,453.885537190083
8.651156,454.707438016529
8.750609,455.563636363636
8.849878,456.388016528926
8.949597,457.280165289256
9.050043,458.047933884298
9.150106,458.847520661157
9.249961,459.700413223141
9.350289,460.501652892562
9.449912,461.264876033058
9.549762,462.023966942149
9.649733,462.873140495868
9.750738,463.578512396694
9.850665,464.187190082645
9.950846,464.969421487603
10.05189,465.665289256198
10.15188,466.394628099174
10.25122,467.120247933884
10.3511,467.859090909091
10.45105,468.510743801653
10.5516,469.152892561983
10.65183,469.834710743802
10.75177,470.464462809917
10.85143,471.039256198347
10.95081,471.670247933884
11.0511,472.340082644628
11.15122,472.938842975207
11.25117,473.504545454545
11.35111,474.156198347107
11.45077,474.709504132231
11.55057,475.312809917355
11.65078,475.871900826446
11.75113,476.415289256198
11.85136,476.947520661157
11.95144,477.545041322314
12.05184,478.023966942149
12.15222,478.52479338843
12.25188,479.031404958678
12.35257,479.574380165289
12.4533,480.03305785124
12.55328,480.469421487603
12.65256,480.992148760331
12.75208,481.472727272727
12.85167,481.94132231405
12.95085,482.447520661157
13.04998,482.880165289256
13.14988,483.371487603306
13.25016,483.799173553719
13.35099,484.266115702479
13.45164,484.655785123967
13.55241,485.047520661157
13.65212,485.414876033058
13.75228,485.916115702479
13.85303,486.280991735537
13.95333,486.619008264463
14.05314,487.039669421488
14.15282,487.471074380165
14.2536,487.813223140496
14.35336,488.159917355372
14.4536,488.588016528926
14.55451,488.863223140496
14.65392,489.181818181818
14.75362,489.581404958678
14.85394,489.95
14.95418,490.194628099174
15.05394,490.525619834711
15.15375,490.871487603306
15.25356,491.120247933884
15.35391,491.462396694215
15.45464,491.766115702479
15.55485,492.020661157025
15.65595,492.338842975207
15.75626,492.535950413223
15.85707,492.864462809917
15.95747,493.151239669421
16.06194,493.312396694215
16.16404,493.455785123967
16.26357,493.75867768595
16.36267,494.05826446281
16.46081,494.348347107438
16.55988,494.677685950413
16.65856,494.957851239669
16.75731,495.20826446281
16.85632,495.453305785124
16.95659,495.664876033058
17.05603,495.887190082645
17.15543,496.063636363636
17.25483,496.286363636364
17.35522,496.516115702479
17.45589,496.642561983471
17.55565,496.813223140496
17.65609,496.996280991735
17.75529,497.165289256198
17.85571,497.338842975207
17.95568,497.530165289256
18.0556,497.737190082645
18.15535,497.859090909091
18.25536,497.973553719008
18.35534,498.157851239669
18.45502,498.351239669422
18.55428,498.454545454545
18.6542,498.617355371901
18.75398,498.716115702479
18.85356,498.957024793388
18.95186,499.05826446281
19.05163,499.37520661157
19.15158,499.395041322314
19.25099,499.451652892562
19.35202,499.629338842975
19.4532,499.717355371901
19.55375,499.717355371901
19.65428,499.763636363636
19.75427,499.951239669421
19.8567,500.010330578512
19.95756,499.982644628099
20.05671,500.171487603306
20.15564,500.36652892562
20.25485,500.523553719008
20.35403,500.727272727273
20.45386,500.826446280992
20.55408,500.9
20.65357,501.01694214876
20.7536,501.085950413223
20.85352,501.173553719008
20.95258,501.302479338843
21.0528,501.403305785124
21.15384,501.494628099174
21.25357,501.470661157025
21.35328,501.561983471074
21.45269,501.666115702479
21.5524,501.729752066116
21.65369,501.888016528926
21.75475,501.888842975207
21.85464,501.836363636364
21.95451,501.95826446281
22.05432,501.997520661157
22.15427,502.11652892562
22.25505,502.136363636364
22.35549,502.166115702479
22.4558,502.207851239669
22.55612,502.200826446281
22.65657,502.317355371901
22.75723,502.271487603306
22.85705,502.315702479339
22.95691,502.290082644628
23.05692,502.414049586777
23.15567,502.37520661157
23.25428,502.574380165289
23.35448,502.597933884298
23.4573,502.562396694215
23.55842,502.273140495868
23.65807,502.268181818182
23.75713,502.312396694215
23.85773,502.464049586777
23.95802,502.32479338843
24.05679,502.282231404959
24.15601,502.350826446281
24.2555,502.351239669421
24.35683,502.45
24.45757,502.259917355372
24.5569,502.252066115702
24.65652,502.282231404959
24.7557,502.202892561983
24.85466,502.260743801653
24.95478,502.220247933884
25.05436,502.270661157025
25.15433,502.21652892562
25.25416,502.182644628099
25.3548,502.23347107438
25.45539,502.069421487603
25.55367,502.070247933884
25.65326,502.126033057851
25.75251,502.084297520661
25.85215,502.154132231405
25.9535,502.084710743802
26.05369,501.907438016529
26.15289,501.914876033058
26.25313,501.926859504132
26.35262,501.857851239669
26.45222,501.911157024793
26.55276,501.806198347107
26.65238,501.672727272727
26.75215,501.69132231405
26.8522,501.640082644628
26.95241,501.513636363636
27.0531,501.465289256198
27.15241,501.281404958678
27.25102,501.19958677686
27.35126,501.290909090909
27.45317,501.147520661157
27.55406,500.801239669421
27.6526,500.579338842975
27.75063,500.59173553719
27.85103,500.565289256198
27.95262,500.269008264463
28.05388,499.886776859504
28.15224,499.555785123967
28.25026,499.448760330578
28.35073,499.388016528926
28.45293,498.969421487603
28.55317,498.478925619835
28.65081,498.310330578512
28.75006,498.345041322314
28.85342,497.95041322314
28.95355,497.370247933884
29.05106,497.260330578512
29.14946,497.230578512397
29.25145,496.864462809917
29.3524,496.301239669421
29.45049,495.996280991736
29.54995,495.802066115702
29.65124,495.333884297521
29.75173,494.747107438016
29.85055,494.303719008264
29.95019,493.912396694215
30.05144,493.292148760331
30.15352,492.532644628099
30.20338,482.598347107438
30.1696,469.622314049587
30.10368,451.429338842975
30.00869,429.786776859504
29.89272,405.63979338843
29.7612,379.455826446281
29.61641,351.929834710744
29.45992,323.825371900826
29.29381,295.65
29.12069,267.754958677686
28.94356,240.497231404959
28.76561,214.198099173554
28.58972,189.080578512397
28.41819,165.299462809917
28.25256,142.982933884298
